Year,City,Event
2016,Rio de Janeiro,EquestrianismMixedJumpingIndividual
2016,Rio de Janeiro,EquestrianismMixedJumpingTeam
1932,Los Angeles,BoxingLightweight
1964,Tokyo,RowingCoxedFours
1952,Helsinki,RowingCoxlessPairs
1956,Melbourne,Athletics5000metres
1956,Melbourne,Athletics10000metres
1980,Moskva,EquestrianismMixedThreeDayEventIndividual
1980,Moskva,EquestrianismMixedThreeDayEventTeam
1948,London,WrestlingMiddleweightGrecoRoman
1948,London,WrestlingMiddleweightFreestyle
2012,London,ShootingAirRifle10metres
2012,London,ShootingSmallBoreRifleThreePositions50metres
1952,Helsinki,AthleticsTripleJump
1996,Atlanta,BeachVolleyballBeachVolleyball
2000,Sydney,BeachVolleyballBeachVolleyball
1992,Barcelona,Swimming4x100metresFreestyleRelay
1992,Barcelona,Swimming100metresButterfly
1992,Barcelona,Swimming4x100metresMedleyRelay
1968,Mexico City,HockeyHockey
2016,Rio de Janeiro,WeightliftingMiddleweight
2008,Beijing,RowingSingleSculls
1956,Melbourne,FootballFootball
1988,Seoul,HockeyHockey
2012,London,Athletics10000metres
1996,Atlanta,WeightliftingHeavyweightI
2004,Athina,BoxingFeatherweight
2008,Beijing,Athletics3000metresSteeplechase
1992,Albertville,CrossCountrySkiing30kilometres
1998,Nagano,CrossCountrySkiing10kilometres
1998,Nagano,CrossCountrySkiing1015kilometresPursuit
1998,Nagano,CrossCountrySkiing4x10kilometresRelay
1928,Amsterdam,DivingPlatform
1960,Roma,BoxingLightHeavyweight
1912,Stockholm,AthleticsShotPut
1912,Stockholm,AthleticsShotPutBothHands
1968,Mexico City,ModernPentathlonIndividual
1968,Mexico City,ModernPentathlonTeam
1960,Roma,BoxingWelterweight
1976,Innsbruck,IceHockeyIceHockey
1988,Seoul,WrestlingHeavyweightGrecoRoman
1992,Barcelona,WrestlingSuperHeavyweightGrecoRoman
1996,Atlanta,WrestlingSuperHeavyweightGrecoRoman
2004,Athina,WrestlingSuperHeavyweightGrecoRoman
1994,Lillehammer,SkiJumpingNormalHillIndividual
1994,Lillehammer,SkiJumpingLargeHillIndividual
1994,Lillehammer,SkiJumpingLargeHillTeam
1998,Nagano,SkiJumpingNormalHillIndividual
1998,Nagano,SkiJumpingLargeHillIndividual
1998,Nagano,SkiJumpingLargeHillTeam
2002,Salt Lake City,SkiJumpingNormalHillIndividual
2002,Salt Lake City,SkiJumpingLargeHillIndividual
2002,Salt Lake City,SkiJumpingLargeHillTeam
2006,Torino,SkiJumpingNormalHillIndividual
2006,Torino,SkiJumpingLargeHillIndividual
2006,Torino,SkiJumpingLargeHillTeam
2010,Vancouver,SkiJumpingNormalHillIndividual
2010,Vancouver,SkiJumpingLargeHillIndividual
2014,Sochi,SkiJumpingNormalHillIndividual
2014,Sochi,SkiJumpingLargeHillIndividual
2014,Sochi,SkiJumpingLargeHillTeam
1972,Munich,RowingCoxedPairs
1976,Montreal,RowingCoxlessPairs
1960,Roma,AthleticsJavelinThrow
1964,Tokyo,SailingMixedThreePersonKeelboat
2000,Sydney,RowingCoxedEights
2004,Athina,RowingCoxedEights
2008,Beijing,ShootingTrap
2012,London,ShootingTrap
2016,Rio de Janeiro,ShootingTrap
1956,Melbourne,AthleticsJavelinThrow
1960,Roma,AthleticsJavelinThrow
2000,Sydney,DivingSpringboard
1952,Oslo,BobsleighFour
1956,Cortina d'Ampezzo,BobsleighFour
2012,London,BadmintonDoubles
2016,Rio de Janeiro,BadmintonDoubles
1956,Melbourne,BoxingHeavyweight
2008,Beijing,SailingWindsurfer
2012,London,SailingWindsurfer
1960,Roma,WrestlingHeavyweightGrecoRoman
2004,Athina,WrestlingLightweightGrecoRoman
2016,Rio de Janeiro,Swimming200metresFreestyle
2016,Rio de Janeiro,Swimming4x200metresFreestyleRelay
1996,Atlanta,HockeyHockey
2004,Athina,HockeyHockey
2004,Athina,RowingSingleSculls
1936,Garmisch-Partenkirchen,BobsleighFour
1912,Stockholm,Athletics10kilometresWalk
1980,Moskva,Athletics800metres
2012,London,Athletics20kilometresWalk
2016,Rio de Janeiro,Athletics20kilometresWalk
1924,Paris,WeightliftingHeavyweight
2012,London,CanoeingKayakSinglesSlalom
2016,Rio de Janeiro,CanoeingKayakSinglesSlalom
1964,Tokyo,Athletics200metres
1964,Tokyo,Athletics80metresHurdles
1968,Mexico City,Athletics80metresHurdles
1956,Melbourne,GymnasticsIndividualAllAround
1956,Melbourne,GymnasticsTeamAllAround
1956,Melbourne,GymnasticsFloorExercise
1956,Melbourne,GymnasticsHorseVault
1956,Melbourne,GymnasticsParallelBars
1956,Melbourne,GymnasticsHorizontalBar
1956,Melbourne,GymnasticsRings
1956,Melbourne,GymnasticsPommelledHorse
1936,Berlin,Athletics400metres
1936,Berlin,Athletics4x400metresRelay
1992,Barcelona,GymnasticsIndividualAllAround
1992,Barcelona,GymnasticsTeamAllAround
1992,Barcelona,GymnasticsFloorExercise
1992,Barcelona,GymnasticsHorseVault
1992,Barcelona,GymnasticsParallelBars
1992,Barcelona,GymnasticsHorizontalBar
1992,Barcelona,GymnasticsRings
1992,Barcelona,GymnasticsPommelledHorse
1988,Calgary,AlpineSkiingGiantSlalom
1988,Calgary,AlpineSkiingSlalom
1956,Melbourne,RowingCoxedEights
2000,Sydney,SoftballSoftball
1996,Atlanta,Athletics4x400metresRelay
1964,Tokyo,CyclingRoadRaceIndividual
1956,Melbourne,BasketballBasketball
1998,Nagano,IceHockeyIceHockey
1964,Innsbruck,SkiJumpingNormalHillIndividual
1964,Innsbruck,SkiJumpingLargeHillIndividual
1968,Grenoble,SkiJumpingNormalHillIndividual
1968,Grenoble,SkiJumpingLargeHillIndividual
2000,Sydney,WrestlingFeatherweightGrecoRoman
2000,Sydney,SailingMixedOnePersonDinghy
2008,Beijing,SailingMixedOnePersonDinghy
2012,London,SailingOnePersonHeavyweightDinghy
1992,Barcelona,SailingOnePersonDinghy
1996,Atlanta,SailingOnePersonDinghy
2010,Vancouver,FreestyleSkiingAerials
1920,Antwerpen,Athletics400metres
1920,Antwerpen,Athletics4x400metresRelay
1980,Moskva,Swimming100metresButterfly
1980,Moskva,Swimming200metresButterfly
1948,London,GymnasticsTeamAllAround
1976,Montreal,JudoHeavyweight
1976,Montreal,JudoOpenClass
1928,Amsterdam,ArtCompetitionsMixedPaintingPaintings
1960,Roma,SailingMixed55metres
1968,Mexico City,SailingMixed55metres
2004,Athina,Athletics800metres
2016,Rio de Janeiro,RowingSingleSculls
2008,Beijing,RowingLightweightDoubleSculls
2016,Rio de Janeiro,CyclingRoadRaceIndividual
2004,Athina,BoxingWelterweight
2000,Sydney,Athletics800metres
1988,Seoul,HandballHandball
1984,Sarajevo,AlpineSkiingGiantSlalom
1984,Sarajevo,AlpineSkiingSlalom
1988,Calgary,AlpineSkiingGiantSlalom
2012,London,WrestlingMiddleweightGrecoRoman
2004,Athina,Athletics10000metres
1912,Stockholm,TennisMixedDoublesCoveredCourts
1912,Stockholm,TennisSinglesCoveredCourts
1996,Atlanta,CyclingTeamPursuit4000metres
2000,Sydney,CyclingTeamPursuit4000metres
2000,Sydney,CyclingMadison
2004,Athina,Swimming100metresBackstroke
2008,Beijing,Swimming100metresBackstroke
1928,Amsterdam,ArtCompetitionsMixedSculpturingStatues
1908,London,AthleticsMarathon
1900,Paris,RugbyRugby
2000,Sydney,ShootingSmallBoreRifleThreePositions50metres
2000,Sydney,ShootingSmallBoreRifleProne50metres
2004,Athina,ShootingSmallBoreRifleThreePositions50metres
2004,Athina,ShootingSmallBoreRifleProne50metres
2008,Beijing,ShootingSmallBoreRifleThreePositions50metres
2008,Beijing,ShootingSmallBoreRifleProne50metres
2012,London,ShootingAirRifle10metres
2012,London,ShootingSmallBoreRifleThreePositions50metres
2012,London,ShootingSmallBoreRifleProne50metres
1980,Lake Placid,SkiJumpingNormalHillIndividual
1980,Lake Placid,SkiJumpingLargeHillIndividual
1988,Seoul,Swimming100metresBackstroke
1988,Seoul,Swimming4x100metresMedleyRelay
2000,Sydney,RhythmicGymnasticsGroup
1952,Helsinki,Athletics200metres
1956,Melbourne,Athletics4x100metresRelay
2016,Rio de Janeiro,BoxingSuperHeavyweight
1992,Barcelona,WeightliftingHeavyweightII
2004,Athina,WeightliftingLightHeavyweight
2000,Sydney,FootballFootball
1996,Atlanta,BaseballBaseball
2000,Sydney,BoxingWelterweight
1980,Moskva,BoxingHeavyweight
1984,Los Angeles,BoxingHeavyweight
1984,Los Angeles,WeightliftingMiddleHeavyweight
2000,Sydney,AthleticsLongJump
2004,Athina,AthleticsLongJump
1996,Atlanta,Athletics100metres
1996,Atlanta,AthleticsLongJump
1988,Seoul,WrestlingBantamweightFreestyle
2008,Beijing,WrestlingHeavyweightFreestyle
1980,Moskva,Athletics400metres
1984,Los Angeles,Athletics400metres
1988,Seoul,Athletics400metresHurdles
1996,Atlanta,CanoeingKayakDoubles500metres
1956,Melbourne,Athletics400metres
1956,Melbourne,Athletics4x400metresRelay
1984,Los Angeles,WrestlingFeatherweightFreestyle
1988,Seoul,WrestlingLightweightFreestyle
1992,Barcelona,WrestlingLightweightFreestyle
2012,London,BoxingMiddleweight
1988,Seoul,TableTennisSingles
1988,Seoul,TableTennisDoubles
1948,London,WrestlingBantamweightFreestyle
1972,Sapporo,CrossCountrySkiing5kilometres
1992,Albertville,ShortTrackSpeedSkating5000metresRelay
1994,Lillehammer,ShortTrackSpeedSkating5000metresRelay
1996,Atlanta,Swimming400metresFreestyle
1996,Atlanta,Swimming1500metresFreestyle
1984,Los Angeles,BoxingLightHeavyweight
2000,Sydney,ArcheryIndividual
2000,Sydney,ArcheryTeam
1976,Montreal,FencingFoilIndividual
1976,Montreal,FencingFoilTeam
1976,Montreal,FencingSabreTeam
2004,Athina,JudoLightweight
1952,Helsinki,WrestlingFlyweightGrecoRoman
1924,Paris,WrestlingLightweightGrecoRoman
1956,Melbourne,WrestlingFlyweightFreestyle
1960,Roma,WrestlingBantamweightFreestyle
1964,Tokyo,WrestlingBantamweightFreestyle
1952,Helsinki,WrestlingLightweightGrecoRoman
2016,Rio de Janeiro,Athletics3000metresSteeplechase
2016,Rio de Janeiro,Athletics3000metresSteeplechase
1968,Mexico City,WrestlingFeatherweightFreestyle
1976,Montreal,WrestlingFeatherweightFreestyle
2012,London,CyclingRoadRaceIndividual
2012,London,CyclingIndividualTimeTrial
1964,Tokyo,SailingMixedTwoPersonHeavyweightDinghy
1968,Grenoble,CrossCountrySkiing15kilometres
1968,Grenoble,CrossCountrySkiing30kilometres
1968,Grenoble,CrossCountrySkiing50kilometres
1968,Grenoble,CrossCountrySkiing4x10kilometresRelay
1988,Seoul,FencingFoilTeam
1988,Seoul,FencingFoilIndividual
1992,Barcelona,JudoHeavyweight
1920,Antwerpen,EquestrianismJumpingIndividual
1984,Sarajevo,BobsleighFour
1948,London,CanoeingKayakSingles1000metres
1960,Roma,CanoeingKayakDoubles1000metres
1936,Berlin,WrestlingHeavyweightFreestyle
1948,London,CanoeingKayakDoubles10000metres
1932,Los Angeles,SailingMixed6metres
1976,Montreal,WrestlingWelterweightFreestyle
1960,Squaw Valley,CrossCountrySkiing15kilometres
1964,Innsbruck,Biathlon20kilometres
1992,Barcelona,Swimming1500metresFreestyle
1992,Barcelona,Swimming4x200metresFreestyleRelay
1968,Mexico City,SailingMixedOnePersonDinghy
1912,Stockholm,WrestlingFeatherweightGrecoRoman
1984,Sarajevo,FigureSkatingSingles
1906,Athina,GymnasticsIndividualAllAround5Events
2008,Beijing,WrestlingFeatherweightFreestyle
2012,London,WrestlingSuperHeavyweightFreestyle
2016,Rio de Janeiro,WrestlingSuperHeavyweightFreestyle
1952,Helsinki,AthleticsLongJump
2016,Rio de Janeiro,CanoeingKayakFours500metres
1980,Moskva,VolleyballVolleyball
1992,Barcelona,BoxingHeavyweight
2002,Salt Lake City,Biathlon15kilometres
2002,Salt Lake City,Biathlon4x75kilometresRelay
2006,Torino,Biathlon75kilometresSprint
2006,Torino,Biathlon10kilometresPursuit
2006,Torino,Biathlon125kilometresMassStart
2006,Torino,Biathlon15kilometres
2006,Torino,Biathlon4x6kilometresRelay
2004,Athina,ShootingSkeet
2008,Beijing,ShootingSkeet
2012,London,ShootingSkeet
2016,Rio de Janeiro,WrestlingLightHeavyweightGrecoRoman
2016,Rio de Janeiro,BoxingBantamweight
2014,Sochi,CrossCountrySkiing15kilometres
2014,Sochi,CrossCountrySkiing50kilometres
2008,Beijing,WrestlingSuperHeavyweightFreestyle
1996,Atlanta,WrestlingFlyweightGrecoRoman
1960,Roma,WrestlingHeavyweightFreestyle
1964,Tokyo,WrestlingHeavyweightFreestyle
1980,Moskva,HockeyHockey
2002,Salt Lake City,AlpineSkiingGiantSlalom
2002,Salt Lake City,AlpineSkiingSlalom
2000,Sydney,WeightliftingMiddleHeavyweight
2004,Athina,WeightliftingMiddleHeavyweight
2008,Beijing,WeightliftingHeavyweight
1972,Munich,AthleticsHighJump
1988,Seoul,AthleticsShotPut
2000,Sydney,Swimming100metresBreaststroke
2004,Athina,Swimming50metresFreestyle
2008,Beijing,Swimming50metresFreestyle
1960,Roma,WrestlingFeatherweightFreestyle
1964,Tokyo,WrestlingFeatherweightFreestyle
2004,Athina,GymnasticsIndividualAllAround
2004,Athina,GymnasticsTeamAllAround
2004,Athina,GymnasticsFloorExercise
2004,Athina,GymnasticsHorseVault
2004,Athina,GymnasticsUnevenBars
2004,Athina,GymnasticsBalanceBeam
1912,Stockholm,GymnasticsIndividualAllAround
1968,Grenoble,IceHockeyIceHockey
2004,Athina,FootballFootball
1964,Tokyo,Athletics110metresHurdles
1912,Stockholm,FootballFootball
1968,Mexico City,Athletics100metres
1968,Mexico City,Athletics200metres
1968,Mexico City,Athletics4x100metresRelay
2000,Sydney,TableTennisSingles
2004,Athina,TableTennisDoubles
1996,Atlanta,Athletics400metresHurdles
1996,Atlanta,BadmintonSingles
1996,Atlanta,BadmintonMixedDoubles
1988,Seoul,BoxingHeavyweight
1980,Moskva,Athletics400metres
1980,Moskva,Athletics4x400metresRelay
2008,Beijing,TaekwondoFlyweight
1984,Los Angeles,RhythmicGymnasticsIndividual
1988,Seoul,RhythmicGymnasticsIndividual
2016,Rio de Janeiro,ShootingRapidFirePistol25metres
1976,Montreal,WrestlingHeavyweightGrecoRoman
1972,Munich,ArcheryIndividual
1964,Tokyo,AthleticsShotPut
1972,Munich,AthleticsShotPut
2012,London,Athletics800metres
2016,Rio de Janeiro,Athletics800metres
2016,Rio de Janeiro,Athletics1500metres
2008,Beijing,WeightliftingMiddleHeavyweight
1972,Munich,ArcheryIndividual
2000,Sydney,WaterPoloWaterPolo
1984,Los Angeles,BoxingLightFlyweight
1972,Munich,EquestrianismMixedJumpingIndividual
1972,Munich,EquestrianismMixedJumpingTeam
1972,Munich,FencingSabreIndividual
1992,Barcelona,Athletics1500metres
2000,Sydney,RowingSingleSculls
1896,Athina,TennisSingles
1896,Athina,TennisDoubles
1924,Paris,FencingFoilIndividual
1924,Paris,FencingepeeTeam
1928,Amsterdam,FencingSabreIndividual
2004,Athina,JudoHalfHeavyweight
2016,Rio de Janeiro,FencingSabreTeam
2008,Beijing,Swimming100metresFreestyle
2008,Beijing,Swimming4x100metresFreestyleRelay
2008,Beijing,Swimming4x100metresMedleyRelay
1976,Montreal,Athletics400metres
1976,Montreal,Athletics4x400metresRelay
2008,Beijing,BoxingLightweight
1964,Tokyo,AthleticsJavelinThrow
1936,Berlin,FootballFootball
1968,Mexico City,WrestlingHeavyweightGrecoRoman
1984,Los Angeles,Athletics100metres
1984,Los Angeles,Athletics200metres
1984,Los Angeles,Athletics100metresHurdles
1948,London,Athletics100metres
1948,London,Athletics200metres
1948,London,Athletics4x100metresRelay
2000,Sydney,ShootingAirRifle10metres
2000,Sydney,ShootingSmallBoreRifleThreePositions50metres
2004,Athina,ShootingSmallBoreRifleThreePositions50metres
1980,Moskva,Swimming200metresFreestyle
1980,Moskva,Swimming400metresFreestyle
1980,Moskva,Swimming800metresFreestyle
1980,Moskva,Swimming4x100metresMedleyRelay
2014,Sochi,LugeSingles
1980,Moskva,WrestlingLightFlyweightFreestyle
2016,Rio de Janeiro,Swimming50metresFreestyle
1976,Montreal,AthleticsMarathon
1996,Atlanta,AthleticsMarathon
2000,Sydney,AthleticsMarathon
2008,Beijing,WrestlingHeavyweightFreestyle
2004,Athina,AthleticsHeptathlon
1976,Montreal,SailingMixedTwoPersonKeelboat
1996,Atlanta,BoxingWelterweight
1980,Moskva,BoxingWelterweight
2004,Athina,BoxingHeavyweight
1976,Montreal,Athletics4x400metresRelay
1988,Seoul,Cycling100kilometresTeamTimeTrial
2016,Rio de Janeiro,ShootingDoubleTrap
1980,Moskva,FencingFoilIndividual
1980,Moskva,FencingFoilTeam
1980,Moskva,FencingSabreIndividual
1984,Los Angeles,FencingFoilIndividual
1984,Los Angeles,FencingFoilTeam
1984,Los Angeles,Athletics3000metresSteeplechase
1988,Seoul,AthleticsJavelinThrow
1988,Seoul,Swimming400metresFreestyle
1996,Atlanta,WrestlingLightweightFreestyle
2012,London,ShootingTrap
2012,London,Swimming200metresButterfly
2004,Athina,ShootingTrap
1992,Barcelona,Swimming100metresFreestyle
1992,Barcelona,Swimming100metresButterfly
1976,Montreal,Athletics400metres
1976,Montreal,JudoLightweight
2004,Athina,ShootingDoubleTrap
2012,London,ShootingDoubleTrap
1988,Seoul,WeightliftingFlyweight
2000,Sydney,WeightliftingLightHeavyweight
1988,Seoul,WeightliftingLightweight
2008,Beijing,Athletics800metres
2012,London,Athletics800metres
2012,London,Swimming100metresButterfly
2004,Athina,WeightliftingLightweight
1992,Barcelona,FencingSabreIndividual
1988,Seoul,WrestlingWelterweightGrecoRoman
2016,Rio de Janeiro,WeightliftingLightweight
1988,Seoul,BoxingSuperHeavyweight
2016,Rio de Janeiro,ShootingAirPistol10metres
1984,Los Angeles,ArcheryIndividual
1988,Seoul,AthleticsHammerThrow
1976,Montreal,AthleticsShotPut
1976,Montreal,AthleticsTripleJump
2008,Beijing,Athletics100metresHurdles
1984,Los Angeles,ShootingAirRifle10metres
1988,Seoul,ShootingAirRifle10metres
2004,Athina,Athletics200metres
2008,Beijing,AthleticsDiscusThrow
2012,London,AthleticsDiscusThrow
2016,Rio de Janeiro,AthleticsDiscusThrow
1992,Barcelona,ShootingMixedTrap
1996,Atlanta,ShootingTrap
1996,Atlanta,ShootingDoubleTrap
2000,Sydney,ShootingDoubleTrap
2012,London,JudoHalfLightweight
1996,Atlanta,Swimming100metresFreestyle
1996,Atlanta,WeightliftingBantamweight
2000,Sydney,TaekwondoHeavyweight
2000,Sydney,AthleticsDiscusThrow
1988,Seoul,FencingepeeTeam
1996,Atlanta,EquestrianismMixedJumpingIndividual
1996,Atlanta,EquestrianismMixedJumpingTeam
2000,Sydney,EquestrianismMixedJumpingIndividual
2016,Rio de Janeiro,WeightliftingLightweight
1992,Barcelona,Swimming100metresBreaststroke
1992,Barcelona,Swimming200metresBreaststroke
2008,Beijing,JudoHalfHeavyweight
2016,Rio de Janeiro,ShootingTrap
1976,Montreal,JudoHalfMiddleweight
2012,London,Athletics400metres
2012,London,AthleticsHammerThrow
2008,Beijing,Athletics200metres
1984,Los Angeles,Swimming100metresButterfly
1988,Seoul,WrestlingWelterweightFreestyle
1996,Atlanta,TableTennisSingles
2008,Beijing,AthleticsShotPut
2008,Beijing,Swimming100metresBreaststroke
1984,Los Angeles,Swimming100metresBreaststroke
2008,Beijing,FencingFoilIndividual
1992,Barcelona,FencingepeeIndividual
1984,Los Angeles,JudoLightweight
1988,Seoul,JudoMiddleweight
2008,Beijing,GymnasticsIndividualAllAround
2008,Beijing,GymnasticsFloorExercise
2008,Beijing,GymnasticsHorseVault
2008,Beijing,GymnasticsPommelledHorse
1988,Seoul,ShootingMixedTrap
1996,Atlanta,DivingSpringboard
1992,Barcelona,TableTennisSingles
1992,Barcelona,JudoExtraLightweight
1992,Barcelona,TableTennisSingles
1988,Seoul,ArcheryIndividual
2000,Sydney,AthleticsJavelinThrow
1992,Barcelona,JudoLightweight
1960,Roma,Athletics110metresHurdles
1960,Roma,Athletics400metresHurdles
1988,Seoul,SailingMixedWindsurfer
2004,Athina,Swimming50metresFreestyle
2000,Sydney,Athletics800metres
1968,Mexico City,WrestlingFeatherweightGrecoRoman
1960,Roma,BoxingLightWelterweight
1964,Tokyo,BoxingWelterweight
2016,Rio de Janeiro,BoxingLightWelterweight
2016,Rio de Janeiro,RowingSingleSculls
1992,Barcelona,AthleticsShotPut
1992,Barcelona,AthleticsDiscusThrow
1996,Atlanta,AthleticsShotPut
2016,Rio de Janeiro,ShootingSmallBoreRifleThreePositions50metres
1992,Barcelona,ShootingSmallBoreRifleProne50metres
1996,Atlanta,ShootingSmallBoreRifleProne50metres
2012,London,TaekwondoFlyweight
2000,Sydney,Swimming100metresBreaststroke
2004,Athina,Swimming100metresBreaststroke
1984,Los Angeles,SailingWindsurfer
2000,Sydney,ShootingTrap
2008,Beijing,ShootingTrap
2008,Beijing,ShootingDoubleTrap
2008,Beijing,TaekwondoWelterweight
1980,Moskva,AthleticsMarathon
2012,London,ArcheryIndividual
1992,Barcelona,AthleticsDecathlon
1988,Seoul,RowingSingleSculls
2008,Beijing,Swimming100metresButterfly
2008,Beijing,AthleticsMarathon
1992,Barcelona,Athletics1500metres
1988,Seoul,JudoLightweight
2004,Athina,TaekwondoFlyweight
2000,Sydney,AthleticsLongJump
2004,Athina,AthleticsLongJump
2016,Rio de Janeiro,FencingFoilIndividual
1988,Seoul,Swimming400metresIndividualMedley
1996,Atlanta,Swimming100metresBreaststroke
1988,Seoul,AthleticsDiscusThrow
1972,Munich,AthleticsJavelinThrow
1976,Montreal,Athletics800metres
2012,London,WeightliftingMiddleHeavyweight
2008,Beijing,JudoLightweight
1988,Seoul,Swimming100metresBreaststroke
1988,Seoul,Swimming200metresBreaststroke
1992,Barcelona,Swimming4x100metresFreestyleRelay
1992,Barcelona,Swimming4x100metresMedleyRelay
2012,London,WrestlingFeatherweightGrecoRoman
2012,London,RowingLightweightDoubleSculls
2008,Beijing,AthleticsLongJump
1996,Atlanta,WeightliftingLightweight
1976,Montreal,Athletics1500metres
1976,Montreal,Athletics10000metres
1988,Seoul,Swimming50metresFreestyle
1988,Seoul,Swimming100metresFreestyle
1988,Seoul,ShootingSmallBoreRifleProne50metres
1996,Atlanta,Swimming200metresFreestyle
2016,Rio de Janeiro,FencingepeeIndividual
1988,Seoul,AthleticsLongJump
1992,Barcelona,AthleticsHighJump
1992,Barcelona,AthleticsLongJump
1992,Barcelona,JudoHalfLightweight
2004,Athina,AthleticsShotPut
1988,Seoul,DivingSpringboard
2008,Beijing,Athletics110metresHurdles
1972,Munich,AthleticsDiscusThrow
2016,Rio de Janeiro,Athletics1500metres
1976,Montreal,AthleticsDiscusThrow
2004,Athina,AthleticsHammerThrow
2008,Beijing,AthleticsHammerThrow
1980,Moskva,AthleticsShotPut
1968,Mexico City,ShootingMixedFreeRifleThreePositions300metres
1972,Munich,ShootingMixedFreeRifleThreePositions300metres
2008,Beijing,WrestlingLightweightGrecoRoman
1976,Montreal,WeightliftingMiddleweight
2012,London,FencingepeeIndividual
2008,Beijing,SailingWindsurfer
2012,London,SailingWindsurfer
2016,Rio de Janeiro,SailingWindsurfer
2002,Salt Lake City,SkeletonSkeleton
1976,Montreal,Athletics100metres
1976,Montreal,Athletics200metres
1980,Moskva,Athletics200metres
1988,Seoul,AthleticsJavelinThrow
1992,Barcelona,AthleticsJavelinThrow
1912,Stockholm,FencingSabreIndividual
1972,Munich,WrestlingFlyweightFreestyle
2012,London,Athletics400metres
1972,Munich,WrestlingFeatherweightGrecoRoman
1992,Barcelona,TennisSingles
2000,Sydney,TennisSingles
2012,London,Athletics3000metresSteeplechase
1976,Montreal,CanoeingKayakFours1000metres
1912,Stockholm,CyclingRoadRaceIndividual
1912,Stockholm,CyclingRoadRaceTeam
1920,Antwerpen,Cycling50kilometres
1960,Roma,Athletics800metres
1968,Mexico City,WrestlingBantamweightFreestyle
1972,Munich,Athletics4x100metresRelay
1968,Mexico City,Swimming200metresIndividualMedley
1968,Mexico City,Swimming400metresIndividualMedley
1964,Tokyo,Swimming200metresButterfly
1964,Tokyo,Swimming400metresIndividualMedley
1968,Mexico City,Swimming400metresFreestyle
1968,Mexico City,Swimming1500metresFreestyle
1968,Mexico City,WeightliftingLightweight
1932,Los Angeles,AthleticsTripleJump
1968,Mexico City,Athletics10000metres
1996,Atlanta,BasketballBasketball
2016,Rio de Janeiro,CyclingIndividualTimeTrial
1988,Seoul,RowingCoxedFours
1956,Melbourne,AthleticsDiscusThrow
1960,Roma,AthleticsDiscusThrow
1968,Mexico City,AthleticsPoleVault
2004,Athina,JudoMiddleweight
2008,Beijing,JudoMiddleweight
2016,Rio de Janeiro,TriathlonOlympicDistance
2004,Athina,JudoHalfLightweight
1960,Squaw Valley,CrossCountrySkiing30kilometres
1960,Squaw Valley,CrossCountrySkiing4x10kilometresRelay
1992,Barcelona,Swimming100metresBackstroke
1992,Barcelona,Swimming200metresBackstroke
1952,Helsinki,ShootingRapidFirePistol25metres
1968,Mexico City,ShootingMixedRapidFirePistol25metres
1924,Paris,AthleticsMarathon
2016,Rio de Janeiro,TaekwondoHeavyweight
1968,Mexico City,FencingepeeTeam
1906,Athina,CyclingRoadRaceIndividual
1906,Athina,Cycling333metresTimeTrial
1906,Athina,CyclingTandemSprint2000metres
1906,Athina,Cycling20kilometres
1976,Montreal,SailingMixedThreePersonKeelboat
1988,Calgary,CrossCountrySkiing15kilometres
1988,Calgary,CrossCountrySkiing30kilometres
1920,Antwerpen,FencingepeeTeam
1924,Paris,FencingFoilTeam
1984,Los Angeles,EquestrianismMixedJumpingIndividual
1984,Los Angeles,EquestrianismMixedJumpingTeam
1920,Antwerpen,TennisDoubles
1968,Mexico City,WrestlingFlyweightFreestyle
2012,London,WeightliftingSuperHeavyweight
1952,Helsinki,CanoeingKayakSingles10000metres
1968,Mexico City,WaterPoloWaterPolo
1900,Paris,SailingMixedOpen
1900,Paris,SailingMixed12Ton
1920,Antwerpen,BoxingFlyweight
1996,Atlanta,EquestrianismMixedThreeDayEventTeam
2016,Rio de Janeiro,RowingCoxedEights
1908,London,FootballFootball
1952,Helsinki,Swimming200metresBreaststroke
1972,Munich,CanoeingCanadianSinglesSlalom
1998,Nagano,LugeSingles
2002,Salt Lake City,LugeSingles
1992,Barcelona,VolleyballVolleyball
2004,Athina,TriathlonOlympicDistance
2012,London,EquestrianismMixedThreeDayEventIndividual
1960,Squaw Valley,AlpineSkiingDownhill
1960,Squaw Valley,AlpineSkiingGiantSlalom
1960,Squaw Valley,AlpineSkiingSlalom
1948,London,Athletics400metresHurdles
1906,Athina,Swimming100metresFreestyle
1906,Athina,SwimmingOneMileFreestyle
2010,Vancouver,AlpineSkiingDownhill
2010,Vancouver,AlpineSkiingSuperG
1948,London,Athletics10000metres
1972,Munich,AthleticsLongJump
1996,Atlanta,DivingSpringboard
1968,Mexico City,RowingCoxlessFours
1952,Helsinki,BoxingLightweight
2016,Rio de Janeiro,WrestlingWelterweightGrecoRoman
1952,Helsinki,CanoeingKayakSingles1000metres
1960,Roma,ShootingFreeRifleThreePositions300metres
2016,Rio de Janeiro,TennisSingles
2006,Torino,AlpineSkiingCombined
1924,Paris,RowingCoxlessFours
1924,Paris,RowingCoxedFours
1972,Munich,WrestlingHeavyweightGrecoRoman
2002,Salt Lake City,LugeMixedsDoubles
2006,Torino,LugeMixedsDoubles
1960,Roma,ShootingRapidFirePistol25metres
1964,Tokyo,ShootingRapidFirePistol25metres
1960,Roma,WrestlingLightHeavyweightGrecoRoman
2008,Beijing,SailingTwoPersonDinghy
2016,Rio de Janeiro,SailingMixedMultihull
