Year,City,Event
1960,Roma,WeightliftingMiddleweight
1960,Roma,FootballFootball
2016,Rio de Janeiro,RowingCoxlessPairs
2008,Beijing,FencingepeeIndividual
1992,Barcelona,JudoHalfMiddleweight
2016,Rio de Janeiro,TaekwondoFlyweight
1972,Munich,BoxingFlyweight
2012,London,AthleticsJavelinThrow
2000,Sydney,Swimming4x100metresMedleyRelay
2008,Beijing,BasketballBasketball
2000,Sydney,DivingPlatform
1992,Barcelona,CanoeingCanadianDoubles500metres
1992,Barcelona,CanoeingCanadianDoubles1000metres
2004,Athina,CanoeingKayakFours1000metres
2008,Beijing,CanoeingKayakFours1000metres
2008,Beijing,HandballHandball
2012,London,HandballHandball
2016,Rio de Janeiro,HandballHandball
2012,London,RowingCoxlessPairs
2004,Athina,FencingepeeIndividual
2000,Sydney,FootballFootball
1968,Mexico City,BoxingMiddleweight
1996,Atlanta,JudoLightweight
1924,Paris,BoxingFeatherweight
1996,Atlanta,WaterPoloWaterPolo
2004,Athina,FootballFootball
2000,Sydney,TennisDoubles
1992,Barcelona,ShootingMixedSkeet
2004,Athina,WrestlingFeatherweightFreestyle
1976,Montreal,SailingMixedTwoPersonHeavyweightDinghy
1980,Moskva,SailingMixedTwoPersonHeavyweightDinghy
1984,Los Angeles,SailingMixedTwoPersonHeavyweightDinghy
1980,Moskva,Athletics1500metres
1984,Los Angeles,Athletics1500metres
1964,Tokyo,WrestlingLightHeavyweightGrecoRoman
1980,Moskva,AthleticsShotPut
1984,Los Angeles,RowingCoxedEights
2004,Athina,CyclingSprint
2004,Athina,Cycling500metresTimeTrial
2012,London,Athletics110metresHurdles
2008,Beijing,FootballFootball
2004,Athina,HandballHandball
1984,Los Angeles,ShootingMixedTrap
2004,Athina,AthleticsMarathon
2004,Athina,Athletics100metres
1976,Montreal,AthleticsHighJump
1968,Mexico City,FencingFoilIndividual
1968,Mexico City,FencingFoilTeam
1968,Mexico City,FencingSabreTeam
1992,Barcelona,FencingSabreTeam
1936,Berlin,Swimming100metresFreestyle
1936,Berlin,Swimming4x200metresFreestyleRelay
1972,Munich,BoxingLightweight
1928,Amsterdam,FootballFootball
1936,Berlin,ModernPentathlonIndividual
1972,Munich,Athletics100metres
2012,London,BoxingWelterweight
2016,Rio de Janeiro,BoxingMiddleweight
1988,Seoul,RowingQuadrupleSculls
