Year,Event,Gender
2004,CanoeingCanadianSingles1000metres,M
2008,CanoeingCanadianDoubles500metres,M
2008,CanoeingCanadianDoubles1000metres,M
1964,SailingMixed55metres,X
1968,SailingMixedTwoPersonHeavyweightDinghy,X
1968,Swimming100metresButterfly,M
1972,WaterPoloWaterPolo,M
2004,Athletics400metresHurdles,M
1988,Swimming200metresFreestyle,F
1984,Athletics5000metres,M
1984,Athletics10000metres,M
2016,RhythmicGymnasticsGroup,F
2016,AthleticsJavelinThrow,F
2000,Swimming200metresButterfly,F
1996,BoxingLightFlyweight,M
2000,BoxingFeatherweight,M
1968,VolleyballVolleyball,M
1976,EquestrianismMixedJumpingIndividual,X
1976,EquestrianismMixedJumpingTeam,X
2016,ArcheryIndividual,F
2016,ArcheryTeam,F
2004,WeightliftingHeavyweight,F
2008,WeightliftingHeavyweight,F
2016,HockeyHockey,F
2000,Athletics400metres,M
2008,DivingPlatform,M
2012,DivingPlatform,M
2012,DivingSynchronizedPlatform,M
1924,AthleticsShotPut,M
1928,AthleticsShotPut,M
1928,AthleticsDiscusThrow,M
1948,AthleticsTripleJump,M
1992,JudoHalfHeavyweight,M
1988,RowingCoxlessFours,M
1992,RowingCoxlessFours,M
1936,SailingMixed8metres,X
2006,SnowboardingHalfpipe,M
1924,SailingMixed8metres,X
2000,RowingCoxlessPairs,M
1992,CanoeingKayakSinglesSlalom,F
2016,WeightliftingFlyweight,F
1984,Swimming100metresBreaststroke,F
1984,Swimming200metresBreaststroke,F
2000,Athletics200metres,M
1992,AthleticsTripleJump,M
1996,AthleticsTripleJump,M
1996,Athletics100metresHurdles,F
1992,Athletics20kilometresWalk,M
1996,Athletics20kilometresWalk,M
2000,Athletics20kilometresWalk,M
2004,VolleyballVolleyball,F
2008,BadmintonMixedDoubles,X
2008,JudoExtraLightweight,M
1964,Athletics100metres,F
2016,AthleticsPoleVault,F
1920,AthleticsTripleJump,M
1908,Athletics110metresHurdles,M
1908,AthleticsLongJump,M
1984,NordicCombinedIndividual,M
1964,Athletics100metres,M
1964,AthleticsLongJump,M
1992,BoxingLightFlyweight,M
1936,Athletics100metres,M
1936,Athletics4x100metresRelay,M
1932,BoxingWelterweight,M
1936,BoxingMiddleweight,M
1912,RowingCoxedEights,M
1948,ArtCompetitionsMixedPaintingUnknownEvent,X
1948,Athletics5000metres,M
1936,HandballHandball,M
1998,IceHockeyIceHockey,F
1924,CurlingCurling,M
1968,RowingCoxedPairs,M
1972,AthleticsHighJump,F
1976,AthleticsHighJump,F
1924,WrestlingBantamweightGrecoRoman,M
1928,WrestlingBantamweightGrecoRoman,M
1912,AthleticsMarathon,M
1912,WrestlingMiddleweightBGrecoRoman,M
1920,WrestlingHeavyweightGrecoRoman,M
1948,Swimming100metresFreestyle,F
1948,Swimming4x100metresFreestyleRelay,F
1992,FencingepeeTeam,M
1964,ShootingTrap,M
1906,AthleticsPoleVault,M
1906,AthleticsShotPut,M
1906,AthleticsStoneThrow,M
1906,AthleticsDiscusThrow,M
1906,AthleticsJavelinThrowFreestyle,M
1906,AthleticsPentathlonAncient,M
2004,EquestrianismMixedJumpingIndividual,X
2004,EquestrianismMixedJumpingTeam,X
2008,EquestrianismMixedJumpingIndividual,X
2008,EquestrianismMixedJumpingTeam,X
2012,EquestrianismMixedJumpingIndividual,X
2012,EquestrianismMixedJumpingTeam,X
2016,EquestrianismMixedJumpingIndividual,X
2016,EquestrianismMixedJumpingTeam,X
1932,BoxingLightweight,M
1964,RowingCoxedFours,M
1952,RowingCoxlessPairs,M
1956,Athletics5000metres,M
1956,Athletics10000metres,M
1980,EquestrianismMixedThreeDayEventIndividual,X
1980,EquestrianismMixedThreeDayEventTeam,X
1948,WrestlingMiddleweightGrecoRoman,M
1948,WrestlingMiddleweightFreestyle,M
2012,ShootingAirRifle10metres,F
2012,ShootingSmallBoreRifleThreePositions50metres,F
1952,AthleticsTripleJump,M
1996,BeachVolleyballBeachVolleyball,M
2000,BeachVolleyballBeachVolleyball,M
1992,Swimming4x100metresFreestyleRelay,F
1992,Swimming100metresButterfly,F
1992,Swimming4x100metresMedleyRelay,F
1968,HockeyHockey,M
2016,WeightliftingMiddleweight,F
2008,RowingSingleSculls,F
1956,FootballFootball,M
1988,HockeyHockey,M
2012,Athletics10000metres,M
1996,WeightliftingHeavyweightI,M
2004,BoxingFeatherweight,M
2008,Athletics3000metresSteeplechase,F
1992,CrossCountrySkiing30kilometres,M
1998,CrossCountrySkiing10kilometres,M
1998,CrossCountrySkiing1015kilometresPursuit,M
1998,CrossCountrySkiing4x10kilometresRelay,M
1928,DivingPlatform,M
1960,BoxingLightHeavyweight,M
1912,AthleticsShotPut,M
1912,AthleticsShotPutBothHands,M
1968,ModernPentathlonIndividual,M
1968,ModernPentathlonTeam,M
1960,BoxingWelterweight,M
1976,IceHockeyIceHockey,M
1988,WrestlingHeavyweightGrecoRoman,M
1992,WrestlingSuperHeavyweightGrecoRoman,M
1996,WrestlingSuperHeavyweightGrecoRoman,M
2004,WrestlingSuperHeavyweightGrecoRoman,M
1994,SkiJumpingNormalHillIndividual,M
1994,SkiJumpingLargeHillIndividual,M
1994,SkiJumpingLargeHillTeam,M
1998,SkiJumpingNormalHillIndividual,M
1998,SkiJumpingLargeHillIndividual,M
1998,SkiJumpingLargeHillTeam,M
2002,SkiJumpingNormalHillIndividual,M
2002,SkiJumpingLargeHillIndividual,M
2002,SkiJumpingLargeHillTeam,M
2006,SkiJumpingNormalHillIndividual,M
2006,SkiJumpingLargeHillIndividual,M
2006,SkiJumpingLargeHillTeam,M
2010,SkiJumpingNormalHillIndividual,M
2010,SkiJumpingLargeHillIndividual,M
2014,SkiJumpingNormalHillIndividual,M
2014,SkiJumpingLargeHillIndividual,M
2014,SkiJumpingLargeHillTeam,M
1972,RowingCoxedPairs,M
1976,RowingCoxlessPairs,M
1960,AthleticsJavelinThrow,M
1964,SailingMixedThreePersonKeelboat,X
2000,RowingCoxedEights,M
2004,RowingCoxedEights,M
2008,ShootingTrap,F
2012,ShootingTrap,F
2016,ShootingTrap,F
1956,AthleticsJavelinThrow,F
1960,AthleticsJavelinThrow,F
2000,DivingSpringboard,M
1952,BobsleighFour,M
1956,BobsleighFour,M
2012,BadmintonDoubles,M
2016,BadmintonDoubles,M
1956,BoxingHeavyweight,M
2008,SailingWindsurfer,M
2012,SailingWindsurfer,M
1960,WrestlingHeavyweightGrecoRoman,M
2004,WrestlingLightweightGrecoRoman,M
2016,Swimming200metresFreestyle,F
2016,Swimming4x200metresFreestyleRelay,F
1996,HockeyHockey,F
2004,HockeyHockey,F
2004,RowingSingleSculls,M
1936,BobsleighFour,M
1912,Athletics10kilometresWalk,M
1980,Athletics800metres,M
2012,Athletics20kilometresWalk,F
2016,Athletics20kilometresWalk,F
1924,WeightliftingHeavyweight,M
2012,CanoeingKayakSinglesSlalom,M
2016,CanoeingKayakSinglesSlalom,M
1964,Athletics200metres,F
1964,Athletics80metresHurdles,F
1968,Athletics80metresHurdles,F
1956,GymnasticsIndividualAllAround,M
1956,GymnasticsTeamAllAround,M
1956,GymnasticsFloorExercise,M
1956,GymnasticsHorseVault,M
1956,GymnasticsParallelBars,M
1956,GymnasticsHorizontalBar,M
1956,GymnasticsRings,M
1956,GymnasticsPommelledHorse,M
1936,Athletics400metres,M
1936,Athletics4x400metresRelay,M
1992,GymnasticsIndividualAllAround,M
1992,GymnasticsTeamAllAround,M
1992,GymnasticsFloorExercise,M
1992,GymnasticsHorseVault,M
1992,GymnasticsParallelBars,M
1992,GymnasticsHorizontalBar,M
1992,GymnasticsRings,M
1992,GymnasticsPommelledHorse,M
1988,AlpineSkiingGiantSlalom,F
1988,AlpineSkiingSlalom,F
1956,RowingCoxedEights,M
2000,SoftballSoftball,F
1996,Athletics4x400metresRelay,M
1964,CyclingRoadRaceIndividual,M
1956,BasketballBasketball,M
1998,IceHockeyIceHockey,M
1964,SkiJumpingNormalHillIndividual,M
1964,SkiJumpingLargeHillIndividual,M
1968,SkiJumpingNormalHillIndividual,M
1968,SkiJumpingLargeHillIndividual,M
2000,WrestlingFeatherweightGrecoRoman,M
2000,SailingMixedOnePersonDinghy,X
2008,SailingMixedOnePersonDinghy,X
2012,SailingOnePersonHeavyweightDinghy,M
1992,SailingOnePersonDinghy,M
1996,SailingOnePersonDinghy,M
2010,FreestyleSkiingAerials,F
1920,Athletics400metres,M
1920,Athletics4x400metresRelay,M
1980,Swimming100metresButterfly,F
1980,Swimming200metresButterfly,F
1948,GymnasticsTeamAllAround,F
1976,JudoHeavyweight,M
1976,JudoOpenClass,M
1928,ArtCompetitionsMixedPaintingPaintings,X
1960,SailingMixed55metres,X
1968,SailingMixed55metres,X
2004,Athletics800metres,M
2016,RowingSingleSculls,F
2008,RowingLightweightDoubleSculls,M
2016,CyclingRoadRaceIndividual,M
2004,BoxingWelterweight,M
2000,Athletics800metres,F
1988,HandballHandball,M
1984,AlpineSkiingGiantSlalom,M
1984,AlpineSkiingSlalom,M
1988,AlpineSkiingGiantSlalom,M
2012,WrestlingMiddleweightGrecoRoman,M
2004,Athletics10000metres,F
1912,TennisMixedDoublesCoveredCourts,X
1912,TennisSinglesCoveredCourts,F
1996,CyclingTeamPursuit4000metres,M
2000,CyclingTeamPursuit4000metres,M
2000,CyclingMadison,M
2004,Swimming100metresBackstroke,F
2008,Swimming100metresBackstroke,F
1928,ArtCompetitionsMixedSculpturingStatues,X
1908,AthleticsMarathon,M
1900,RugbyRugby,M
2000,ShootingSmallBoreRifleThreePositions50metres,M
2000,ShootingSmallBoreRifleProne50metres,M
2004,ShootingSmallBoreRifleThreePositions50metres,M
2004,ShootingSmallBoreRifleProne50metres,M
2008,ShootingSmallBoreRifleThreePositions50metres,M
2008,ShootingSmallBoreRifleProne50metres,M
2012,ShootingAirRifle10metres,M
2012,ShootingSmallBoreRifleThreePositions50metres,M
2012,ShootingSmallBoreRifleProne50metres,M
1980,SkiJumpingNormalHillIndividual,M
1980,SkiJumpingLargeHillIndividual,M
1988,Swimming100metresBackstroke,F
1988,Swimming4x100metresMedleyRelay,F
2000,RhythmicGymnasticsGroup,F
1952,Athletics200metres,M
1956,Athletics4x100metresRelay,M
2016,BoxingSuperHeavyweight,M
1992,WeightliftingHeavyweightII,M
2004,WeightliftingLightHeavyweight,F
2000,FootballFootball,F
1996,BaseballBaseball,M
2000,BoxingWelterweight,M
1980,BoxingHeavyweight,M
1984,BoxingHeavyweight,M
1984,WeightliftingMiddleHeavyweight,M
2000,AthleticsLongJump,F
2004,AthleticsLongJump,F
1996,Athletics100metres,F
1996,AthleticsLongJump,F
1988,WrestlingBantamweightFreestyle,M
2008,WrestlingHeavyweightFreestyle,M
1980,Athletics400metres,M
1984,Athletics400metres,M
1988,Athletics400metresHurdles,M
1996,CanoeingKayakDoubles500metres,F
1956,Athletics400metres,M
1956,Athletics4x400metresRelay,M
1984,WrestlingFeatherweightFreestyle,M
1988,WrestlingLightweightFreestyle,M
1992,WrestlingLightweightFreestyle,M
2012,BoxingMiddleweight,M
1988,TableTennisSingles,F
1988,TableTennisDoubles,F
1948,WrestlingBantamweightFreestyle,M
1972,CrossCountrySkiing5kilometres,F
1992,ShortTrackSpeedSkating5000metresRelay,M
1994,ShortTrackSpeedSkating5000metresRelay,M
1996,Swimming400metresFreestyle,M
1996,Swimming1500metresFreestyle,M
1984,BoxingLightHeavyweight,M
2000,ArcheryIndividual,M
2000,ArcheryTeam,M
1976,FencingFoilIndividual,M
1976,FencingFoilTeam,M
1976,FencingSabreTeam,M
2004,JudoLightweight,M
1952,WrestlingFlyweightGrecoRoman,M
1924,WrestlingLightweightGrecoRoman,M
1956,WrestlingFlyweightFreestyle,M
1960,WrestlingBantamweightFreestyle,M
1964,WrestlingBantamweightFreestyle,M
1952,WrestlingLightweightGrecoRoman,M
2016,Athletics3000metresSteeplechase,F
2016,Athletics3000metresSteeplechase,M
1968,WrestlingFeatherweightFreestyle,M
1976,WrestlingFeatherweightFreestyle,M
2012,CyclingRoadRaceIndividual,M
2012,CyclingIndividualTimeTrial,M
1964,SailingMixedTwoPersonHeavyweightDinghy,X
1968,CrossCountrySkiing15kilometres,M
1968,CrossCountrySkiing30kilometres,M
1968,CrossCountrySkiing50kilometres,M
1968,CrossCountrySkiing4x10kilometresRelay,M
1988,FencingFoilTeam,M
1988,FencingFoilIndividual,M
1992,JudoHeavyweight,F
1920,EquestrianismJumpingIndividual,M
1984,BobsleighFour,M
1948,CanoeingKayakSingles1000metres,M
1960,CanoeingKayakDoubles1000metres,M
1936,WrestlingHeavyweightFreestyle,M
1948,CanoeingKayakDoubles10000metres,M
1932,SailingMixed6metres,X
1976,WrestlingWelterweightFreestyle,M
1960,CrossCountrySkiing15kilometres,M
1964,Biathlon20kilometres,M
1992,Swimming1500metresFreestyle,M
1992,Swimming4x200metresFreestyleRelay,M
1968,SailingMixedOnePersonDinghy,X
1912,WrestlingFeatherweightGrecoRoman,M
1984,FigureSkatingSingles,M
1906,GymnasticsIndividualAllAround5Events,M
2008,WrestlingFeatherweightFreestyle,M
2012,WrestlingSuperHeavyweightFreestyle,M
2016,WrestlingSuperHeavyweightFreestyle,M
1952,AthleticsLongJump,M
2016,CanoeingKayakFours500metres,F
1980,VolleyballVolleyball,F
1992,BoxingHeavyweight,M
2002,Biathlon15kilometres,F
2002,Biathlon4x75kilometresRelay,F
2006,Biathlon75kilometresSprint,F
2006,Biathlon10kilometresPursuit,F
2006,Biathlon125kilometresMassStart,F
2006,Biathlon15kilometres,F
2006,Biathlon4x6kilometresRelay,F
2004,ShootingSkeet,M
2008,ShootingSkeet,M
2012,ShootingSkeet,M
2016,WrestlingLightHeavyweightGrecoRoman,M
2016,BoxingBantamweight,M
2014,CrossCountrySkiing15kilometres,M
2014,CrossCountrySkiing50kilometres,M
2008,WrestlingSuperHeavyweightFreestyle,M
1996,WrestlingFlyweightGrecoRoman,M
1960,WrestlingHeavyweightFreestyle,M
1964,WrestlingHeavyweightFreestyle,M
1980,HockeyHockey,F
2002,AlpineSkiingGiantSlalom,F
2002,AlpineSkiingSlalom,F
2000,WeightliftingMiddleHeavyweight,M
2004,WeightliftingMiddleHeavyweight,M
2008,WeightliftingHeavyweight,M
1972,AthleticsHighJump,M
1988,AthleticsShotPut,F
2000,Swimming100metresBreaststroke,F
2004,Swimming50metresFreestyle,F
2008,Swimming50metresFreestyle,F
1960,WrestlingFeatherweightFreestyle,M
1964,WrestlingFeatherweightFreestyle,M
2004,GymnasticsIndividualAllAround,F
2004,GymnasticsTeamAllAround,F
2004,GymnasticsFloorExercise,F
2004,GymnasticsHorseVault,F
2004,GymnasticsUnevenBars,F
2004,GymnasticsBalanceBeam,F
1912,GymnasticsIndividualAllAround,M
1968,IceHockeyIceHockey,M
2004,FootballFootball,F
1964,Athletics110metresHurdles,M
1912,FootballFootball,M
1968,Athletics100metres,F
1968,Athletics200metres,F
1968,Athletics4x100metresRelay,F
2000,TableTennisSingles,M
2004,TableTennisDoubles,M
1996,Athletics400metresHurdles,F
1996,BadmintonSingles,M
1996,BadmintonMixedDoubles,X
1988,BoxingHeavyweight,M
1980,Athletics400metres,F
1980,Athletics4x400metresRelay,F
2008,TaekwondoFlyweight,F
1984,RhythmicGymnasticsIndividual,F
1988,RhythmicGymnasticsIndividual,F
2016,ShootingRapidFirePistol25metres,M
1976,WrestlingHeavyweightGrecoRoman,M
1972,ArcheryIndividual,F
1964,AthleticsShotPut,M
1972,AthleticsShotPut,M
2012,Athletics800metres,F
2016,Athletics800metres,F
2016,Athletics1500metres,F
2008,WeightliftingMiddleHeavyweight,M
1972,ArcheryIndividual,M
2000,WaterPoloWaterPolo,F
1984,BoxingLightFlyweight,M
1972,EquestrianismMixedJumpingIndividual,X
1972,EquestrianismMixedJumpingTeam,X
1972,FencingSabreIndividual,M
1992,Athletics1500metres,F
2000,RowingSingleSculls,M
1896,TennisSingles,M
1896,TennisDoubles,M
1924,FencingFoilIndividual,M
1924,FencingepeeTeam,M
1928,FencingSabreIndividual,M
2004,JudoHalfHeavyweight,F
2016,FencingSabreTeam,F
2008,Swimming100metresFreestyle,F
2008,Swimming4x100metresFreestyleRelay,F
2008,Swimming4x100metresMedleyRelay,F
1976,Athletics400metres,F
1976,Athletics4x400metresRelay,F
2008,BoxingLightweight,M
1964,AthleticsJavelinThrow,M
1936,FootballFootball,M
1968,WrestlingHeavyweightGrecoRoman,M
1984,Athletics100metres,F
1984,Athletics200metres,F
1984,Athletics100metresHurdles,F
1948,Athletics100metres,M
1948,Athletics200metres,M
1948,Athletics4x100metresRelay,M
2000,ShootingAirRifle10metres,F
2000,ShootingSmallBoreRifleThreePositions50metres,F
2004,ShootingSmallBoreRifleThreePositions50metres,F
1980,Swimming200metresFreestyle,F
1980,Swimming400metresFreestyle,F
1980,Swimming800metresFreestyle,F
1980,Swimming4x100metresMedleyRelay,F
2014,LugeSingles,F
1980,WrestlingLightFlyweightFreestyle,M
2016,Swimming50metresFreestyle,F
1976,AthleticsMarathon,M
1996,AthleticsMarathon,F
2000,AthleticsMarathon,F
2008,WrestlingHeavyweightFreestyle,F
2004,AthleticsHeptathlon,F
1976,SailingMixedTwoPersonKeelboat,X
1996,BoxingWelterweight,M
1980,BoxingWelterweight,M
2004,BoxingHeavyweight,M
1976,Athletics4x400metresRelay,M
1988,Cycling100kilometresTeamTimeTrial,M
2016,ShootingDoubleTrap,M
1980,FencingFoilIndividual,M
1980,FencingFoilTeam,M
1980,FencingSabreIndividual,M
1984,FencingFoilIndividual,M
1984,FencingFoilTeam,M
1984,Athletics3000metresSteeplechase,M
1988,AthleticsJavelinThrow,M
1988,Swimming400metresFreestyle,M
1996,WrestlingLightweightFreestyle,M
2012,ShootingTrap,M
2012,Swimming200metresButterfly,M
2004,ShootingTrap,M
1992,Swimming100metresFreestyle,M
1992,Swimming100metresButterfly,M
1976,Athletics400metres,M
1976,JudoLightweight,M
2004,ShootingDoubleTrap,M
2012,ShootingDoubleTrap,M
1988,WeightliftingFlyweight,M
2000,WeightliftingLightHeavyweight,M
1988,WeightliftingLightweight,M
2008,Athletics800metres,M
2012,Athletics800metres,M
2012,Swimming100metresButterfly,M
2004,WeightliftingLightweight,M
1992,FencingSabreIndividual,M
1988,WrestlingWelterweightGrecoRoman,M
2016,WeightliftingLightweight,F
1988,BoxingSuperHeavyweight,M
2016,ShootingAirPistol10metres,F
1984,ArcheryIndividual,M
1988,AthleticsHammerThrow,M
1976,AthleticsShotPut,M
1976,AthleticsTripleJump,M
2008,Athletics100metresHurdles,F
1984,ShootingAirRifle10metres,M
1988,ShootingAirRifle10metres,M
2004,Athletics200metres,M
2008,AthleticsDiscusThrow,M
2012,AthleticsDiscusThrow,M
2016,AthleticsDiscusThrow,M
1992,ShootingMixedTrap,X
1996,ShootingTrap,M
1996,ShootingDoubleTrap,M
2000,ShootingDoubleTrap,M
2012,JudoHalfLightweight,M
1996,Swimming100metresFreestyle,M
1996,WeightliftingBantamweight,M
2000,TaekwondoHeavyweight,M
2000,AthleticsDiscusThrow,M
1988,FencingepeeTeam,M
1996,EquestrianismMixedJumpingIndividual,X
1996,EquestrianismMixedJumpingTeam,X
2000,EquestrianismMixedJumpingIndividual,X
2016,WeightliftingLightweight,M
1992,Swimming100metresBreaststroke,M
1992,Swimming200metresBreaststroke,M
2008,JudoHalfHeavyweight,M
2016,ShootingTrap,M
1976,JudoHalfMiddleweight,M
2012,Athletics400metres,M
2012,AthleticsHammerThrow,M
2008,Athletics200metres,F
1984,Swimming100metresButterfly,M
1988,WrestlingWelterweightFreestyle,M
1996,TableTennisSingles,M
2008,AthleticsShotPut,M
2008,Swimming100metresBreaststroke,M
1984,Swimming100metresBreaststroke,M
2008,FencingFoilIndividual,M
1992,FencingepeeIndividual,M
1984,JudoLightweight,M
1988,JudoMiddleweight,M
2008,GymnasticsIndividualAllAround,M
2008,GymnasticsFloorExercise,M
2008,GymnasticsHorseVault,M
2008,GymnasticsPommelledHorse,M
1988,ShootingMixedTrap,X
1996,DivingSpringboard,M
1992,TableTennisSingles,F
1992,JudoExtraLightweight,M
1992,TableTennisSingles,M
1988,ArcheryIndividual,M
2000,AthleticsJavelinThrow,M
1992,JudoLightweight,M
1960,Athletics110metresHurdles,M
1960,Athletics400metresHurdles,M
1988,SailingMixedWindsurfer,X
2004,Swimming50metresFreestyle,M
2000,Athletics800metres,M
1968,WrestlingFeatherweightGrecoRoman,M
1960,BoxingLightWelterweight,M
1964,BoxingWelterweight,M
2016,BoxingLightWelterweight,M
2016,RowingSingleSculls,M
1992,AthleticsShotPut,M
1992,AthleticsDiscusThrow,M
1996,AthleticsShotPut,M
2016,ShootingSmallBoreRifleThreePositions50metres,M
1992,ShootingSmallBoreRifleProne50metres,M
1996,ShootingSmallBoreRifleProne50metres,M
2012,TaekwondoFlyweight,M
2000,Swimming100metresBreaststroke,M
2004,Swimming100metresBreaststroke,M
1984,SailingWindsurfer,M
2000,ShootingTrap,M
2008,ShootingTrap,M
2008,ShootingDoubleTrap,M
2008,TaekwondoWelterweight,F
1980,AthleticsMarathon,M
2012,ArcheryIndividual,F
1992,AthleticsDecathlon,M
1988,RowingSingleSculls,M
2008,Swimming100metresButterfly,M
2008,AthleticsMarathon,M
1992,Athletics1500metres,M
1988,JudoLightweight,M
2004,TaekwondoFlyweight,M
2000,AthleticsLongJump,M
2004,AthleticsLongJump,M
2016,FencingFoilIndividual,F
1988,Swimming400metresIndividualMedley,M
1996,Swimming100metresBreaststroke,M
1988,AthleticsDiscusThrow,M
1972,AthleticsJavelinThrow,M
1976,Athletics800metres,M
2012,WeightliftingMiddleHeavyweight,M
2008,JudoLightweight,M
1988,Swimming100metresBreaststroke,M
1988,Swimming200metresBreaststroke,M
1992,Swimming4x100metresFreestyleRelay,M
1992,Swimming4x100metresMedleyRelay,M
2012,WrestlingFeatherweightGrecoRoman,M
2012,RowingLightweightDoubleSculls,M
2008,AthleticsLongJump,M
1996,WeightliftingLightweight,M
1976,Athletics1500metres,M
1976,Athletics10000metres,M
1988,Swimming50metresFreestyle,M
1988,Swimming100metresFreestyle,M
1988,ShootingSmallBoreRifleProne50metres,M
1996,Swimming200metresFreestyle,M
2016,FencingepeeIndividual,M
1988,AthleticsLongJump,M
1992,AthleticsHighJump,M
1992,AthleticsLongJump,M
1992,JudoHalfLightweight,M
2004,AthleticsShotPut,M
1988,DivingSpringboard,M
2008,Athletics110metresHurdles,M
1972,AthleticsDiscusThrow,M
2016,Athletics1500metres,M
1976,AthleticsDiscusThrow,M
2004,AthleticsHammerThrow,M
2008,AthleticsHammerThrow,M
1980,AthleticsShotPut,M
1968,ShootingMixedFreeRifleThreePositions300metres,X
1972,ShootingMixedFreeRifleThreePositions300metres,X
2008,WrestlingLightweightGrecoRoman,M
1976,WeightliftingMiddleweight,M
2012,FencingepeeIndividual,M
2008,SailingWindsurfer,F
2012,SailingWindsurfer,F
2016,SailingWindsurfer,F
2002,SkeletonSkeleton,M
1976,Athletics100metres,F
1976,Athletics200metres,F
1980,Athletics200metres,F
1988,AthleticsJavelinThrow,F
1992,AthleticsJavelinThrow,F
1912,FencingSabreIndividual,M
1972,WrestlingFlyweightFreestyle,M
2012,Athletics400metres,F
1972,WrestlingFeatherweightGrecoRoman,M
1992,TennisSingles,M
2000,TennisSingles,M
2012,Athletics3000metresSteeplechase,F
1976,CanoeingKayakFours1000metres,M
1912,CyclingRoadRaceIndividual,M
1912,CyclingRoadRaceTeam,M
1920,Cycling50kilometres,M
1960,Athletics800metres,M
1968,WrestlingBantamweightFreestyle,M
1972,Athletics4x100metresRelay,F
1968,Swimming200metresIndividualMedley,M
1968,Swimming400metresIndividualMedley,M
1964,Swimming200metresButterfly,M
1964,Swimming400metresIndividualMedley,M
1968,Swimming400metresFreestyle,M
1968,Swimming1500metresFreestyle,M
1968,WeightliftingLightweight,M
1932,AthleticsTripleJump,M
1968,Athletics10000metres,M
1996,BasketballBasketball,M
2016,CyclingIndividualTimeTrial,M
1988,RowingCoxedFours,M
1956,AthleticsDiscusThrow,M
1960,AthleticsDiscusThrow,M
1968,AthleticsPoleVault,M
2004,JudoMiddleweight,M
2008,JudoMiddleweight,M
2016,TriathlonOlympicDistance,M
2004,JudoHalfLightweight,M
1960,CrossCountrySkiing30kilometres,M
1960,CrossCountrySkiing4x10kilometresRelay,M
1992,Swimming100metresBackstroke,F
1992,Swimming200metresBackstroke,F
1952,ShootingRapidFirePistol25metres,M
1968,ShootingMixedRapidFirePistol25metres,X
1924,AthleticsMarathon,M
2016,TaekwondoHeavyweight,M
1968,FencingepeeTeam,M
1906,CyclingRoadRaceIndividual,M
1906,Cycling333metresTimeTrial,M
1906,CyclingTandemSprint2000metres,M
1906,Cycling20kilometres,M
1976,SailingMixedThreePersonKeelboat,X
1988,CrossCountrySkiing15kilometres,M
1988,CrossCountrySkiing30kilometres,M
1920,FencingepeeTeam,M
1924,FencingFoilTeam,M
1984,EquestrianismMixedJumpingIndividual,X
1984,EquestrianismMixedJumpingTeam,X
1920,TennisDoubles,M
1968,WrestlingFlyweightFreestyle,M
2012,WeightliftingSuperHeavyweight,M
1952,CanoeingKayakSingles10000metres,M
1968,WaterPoloWaterPolo,M
1900,SailingMixedOpen,X
1900,SailingMixed12Ton,X
1920,BoxingFlyweight,M
1996,EquestrianismMixedThreeDayEventTeam,X
2016,RowingCoxedEights,F
1908,FootballFootball,M
1952,Swimming200metresBreaststroke,F
1972,CanoeingCanadianSinglesSlalom,M
1998,LugeSingles,M
2002,LugeSingles,M
1992,VolleyballVolleyball,M
2004,TriathlonOlympicDistance,M
2012,EquestrianismMixedThreeDayEventIndividual,X
1960,AlpineSkiingDownhill,M
1960,AlpineSkiingGiantSlalom,M
1960,AlpineSkiingSlalom,M
1948,Athletics400metresHurdles,M
1906,Swimming100metresFreestyle,M
1906,SwimmingOneMileFreestyle,M
2010,AlpineSkiingDownhill,M
2010,AlpineSkiingSuperG,M
1948,Athletics10000metres,M
1972,AthleticsLongJump,F
1996,DivingSpringboard,F
1968,RowingCoxlessFours,M
1952,BoxingLightweight,M
2016,WrestlingWelterweightGrecoRoman,M
1952,CanoeingKayakSingles1000metres,M
1960,ShootingFreeRifleThreePositions300metres,M
2016,TennisSingles,M
2006,AlpineSkiingCombined,M
1924,RowingCoxlessFours,M
1924,RowingCoxedFours,M
1972,WrestlingHeavyweightGrecoRoman,M
2002,LugeMixedsDoubles,M
2006,LugeMixedsDoubles,M
1960,ShootingRapidFirePistol25metres,M
1964,ShootingRapidFirePistol25metres,M
1960,WrestlingLightHeavyweightGrecoRoman,M
2008,SailingTwoPersonDinghy,M
2016,SailingMixedMultihull,X
1992,BadmintonDoubles,F
1980,SpeedSkating1000metres,F
1980,SpeedSkating1500metres,F
1980,SpeedSkating3000metres,F
1992,CrossCountrySkiing5kilometres,F
1992,CrossCountrySkiing30kilometres,F
1992,CrossCountrySkiing510kilometresPursuit,F
1992,CrossCountrySkiing4x5kilometresRelay,F
1994,CrossCountrySkiing15kilometres,F
1994,CrossCountrySkiing30kilometres,F
1994,CrossCountrySkiing4x5kilometresRelay,F
1998,CrossCountrySkiing5kilometres,F
1998,CrossCountrySkiing30kilometres,F
1998,CrossCountrySkiing510kilometresPursuit,F
1998,CrossCountrySkiing4x5kilometresRelay,F
2002,CrossCountrySkiing15kilometres,F
2002,CrossCountrySkiing55kilometresPursuit,F
2002,CrossCountrySkiing4x5kilometresRelay,F
1968,SailingMixedTwoPersonKeelboat,X
1972,SailingMixedTwoPersonKeelboat,X
1952,CrossCountrySkiing10kilometres,F
1952,FigureSkatingSingles,F
1956,FigureSkatingSingles,F
1936,AthleticsHighJump,M
1960,WrestlingLightHeavyweightFreestyle,M
1960,AthleticsHammerThrow,M
1988,Swimming100metresButterfly,M
