Year,Event,Gender
1980,Athletics1500metres,M
1984,Athletics1500metres,M
1964,WrestlingLightHeavyweightGrecoRoman,M
1980,AthleticsShotPut,F
1984,RowingCoxedEights,M
2004,CyclingSprint,F
2004,Cycling500metresTimeTrial,F
2012,Athletics110metresHurdles,M
2008,FootballFootball,M
2004,HandballHandball,M
1984,ShootingMixedTrap,X
2004,AthleticsMarathon,F
2004,Athletics100metres,M
1976,AthleticsHighJump,M
1968,FencingFoilIndividual,M
1968,FencingFoilTeam,M
1968,FencingSabreTeam,M
1992,FencingSabreTeam,M
1936,Swimming100metresFreestyle,M
1936,Swimming4x200metresFreestyleRelay,M
1972,BoxingLightweight,M
1928,FootballFootball,M
1936,ModernPentathlonIndividual,M
1972,Athletics100metres,M
2012,BoxingWelterweight,M
2016,BoxingMiddleweight,M
1988,RowingQuadrupleSculls,M
1996,RowingDoubleSculls,M
2000,RowingQuadrupleSculls,M
1984,RowingCoxedPairs,M
1988,RowingCoxedPairs,M
1992,RowingCoxedPairs,M
1996,RowingCoxedEights,M
1980,RowingCoxedPairs,M
1976,Athletics400metresHurdles,M
1976,Athletics4x100metresRelay,M
1980,Athletics400metresHurdles,M
2016,Athletics400metres,M
1996,AthleticsHammerThrow,M
1964,WeightliftingLightweight,M
1980,AthleticsLongJump,M
1992,Athletics400metresHurdles,M
1960,WeightliftingFeatherweight,M
1964,WeightliftingFeatherweight,M
1988,Athletics400metres,M
1988,Athletics800metres,M
2000,CyclingRoadRaceIndividual,M
1952,DivingPlatform,M
2004,Swimming100metresFreestyle,M
2010,AlpineSkiingGiantSlalom,M
2004,WeightliftingMiddleweight,M
2000,HockeyHockey,M
2004,HockeyHockey,M
2012,HockeyHockey,M
1952,BasketballBasketball,M
1984,HockeyHockey,M
2014,AlpineSkiingSlalom,F
2008,HockeyHockey,M
2012,RowingSingleSculls,F
2008,Athletics100metres,M
2008,Swimming50metresFreestyle,M
2000,WeightliftingFeatherweight,F
2012,WaterPoloWaterPolo,F
1900,GymnasticsIndividualAllAround,M
2016,HandballHandball,F
2000,BasketballBasketball,M
1964,FigureSkatingSingles,M
1968,FigureSkatingSingles,M
2016,WeightliftingHeavyweight,M
1906,FootballFootball,M
1996,SailingMixedThreePersonKeelboat,X
2000,SailingMixedThreePersonKeelboat,X
2016,EquestrianismMixedThreeDayEventIndividual,X
2016,EquestrianismMixedThreeDayEventTeam,X
1928,Athletics5000metres,M
2010,FigureSkatingSingles,M
2014,FigureSkatingSingles,M
2014,FigureSkatingMixedTeam,X
1976,CanoeingCanadianDoubles1000metres,M
2008,SailingThreePersonKeelboat,F
2016,CyclingRoadRaceIndividual,F
1900,GolfIndividual,F
2008,SoftballSoftball,F
2008,ArcheryIndividual,F
2012,WrestlingHeavyweightGrecoRoman,M
2008,VolleyballVolleyball,M
2008,TaekwondoHeavyweight,F
2008,SynchronizedSwimmingDuet,F
2008,SynchronizedSwimmingTeam,F
2012,SynchronizedSwimmingTeam,F
2008,Athletics5000metres,M
2016,VolleyballVolleyball,M
1992,HandballHandball,M
1996,HandballHandball,M
1960,GymnasticsIndividualAllAround,M
1960,GymnasticsTeamAllAround,M
1960,GymnasticsFloorExercise,M
1960,GymnasticsHorseVault,M
1960,GymnasticsParallelBars,M
1960,GymnasticsHorizontalBar,M
1960,GymnasticsRings,M
1960,GymnasticsPommelledHorse,M
1992,FencingFoilIndividual,M
2004,TaekwondoFeatherweight,F
1964,AthleticsMarathon,M
1972,Athletics4x400metresRelay,M
1952,Athletics10000metres,M
1984,Athletics3000metres,F
2016,DivingPlatform,F
2000,VolleyballVolleyball,M
2000,ShootingAirRifle10metres,M
1972,FootballFootball,M
1952,AthleticsMarathon,M
1960,AthleticsLongJump,M
1960,BoxingFeatherweight,M
1968,BoxingLightweight,M
1972,Athletics200metres,M
2000,SynchronizedSwimmingDuet,F
2004,SynchronizedSwimmingDuet,F
1992,HockeyHockey,M
1960,RowingCoxedEights,M
2004,WaterPoloWaterPolo,M
1948,FencingFoilIndividual,M
1948,FencingFoilTeam,M
1948,FencingepeeTeam,M
1952,FencingFoilTeam,M
1952,FencingepeeTeam,M
1960,WaterPoloWaterPolo,M
1976,WeightliftingFlyweight,M
1984,VolleyballVolleyball,M
1968,BoxingFeatherweight,M
1948,WrestlingFeatherweightFreestyle,M
1992,FootballFootball,M
1972,BasketballBasketball,M
1948,WaterPoloWaterPolo,M
1948,Swimming100metresFreestyle,M
1948,Swimming100metresBackstroke,M
1952,WaterPoloWaterPolo,M
1952,Swimming100metresFreestyle,M
1960,Athletics100metres,M
1952,WeightliftingLightHeavyweight,M
1960,WeightliftingLightHeavyweight,M
1976,HandballHandball,M
1988,WrestlingLightweightGrecoRoman,M
1984,BasketballBasketball,M
1988,BasketballBasketball,M
1976,BasketballBasketball,M
1996,Athletics400metres,M
1964,RowingCoxedEights,M
1964,WaterPoloWaterPolo,M
1936,FencingSabreIndividual,M
1948,FencingepeeIndividual,M
1952,FencingepeeIndividual,M
1952,FencingSabreIndividual,M
1952,FencingSabreTeam,M
1952,BoxingWelterweight,M
1960,FencingFoilTeam,M
1964,FencingFoilIndividual,M
1964,FencingFoilTeam,M
2008,WrestlingSuperHeavyweightGrecoRoman,M
2008,ShootingFreePistol50metres,M
2016,ShootingAirPistol10metres,M
2016,ShootingFreePistol50metres,M
2004,FencingepeeTeam,M
2000,RowingCoxlessFours,M
2000,BoxingLightFlyweight,M
2000,BoxingSuperHeavyweight,M
1976,BoxingLightFlyweight,M
1948,WrestlingFlyweightGrecoRoman,M
2004,ShootingAirRifle10metres,F
2008,ShootingAirRifle10metres,F
2016,ShootingAirRifle10metres,F
2016,BoxingLightweight,M
2016,JudoHalfMiddleweight,M
2008,ShootingAirPistol10metres,M
2012,WeightliftingMiddleweight,M
