Athlete_ID,NOC
449,France
450,France
451,France
452,France
453,France
454,France
455,France
456,France
457,France
458,France
459,France
460,France
461,France
462,France
463,France
464,France
465,France
466,France
467,France
468,France
469,France
470,France
471,France
472,France
473,France
474,Belgium
475,France
476,France
477,France
478,France
479,France
480,France
481,France
482,France
483,France
484,France
485,France
486,France
487,France
488,France
489,France
490,France
491,France
492,France
493,France
494,France
495,France
496,France
497,France
498,France
500,France
501,France
502,France
503,France
504,Georgia Unified Team United States
505,West Germany
506,West Germany
507,Germany
508,West Germany
509,West Germany
510,Germany
511,West Germany
512,West Germany
513,Germany
514,West Germany
515,Germany
516,West Germany
517,West Germany
518,West Germany
519,West Germany
520,West Germany
521,Germany
522,Germany
523,West Germany
524,Germany
525,West Germany
526,West Germany
527,Germany
528,West Germany
529,Great Britain
530,Great Britain
531,Great Britain
532,Great Britain
533,Great Britain
534,Great Britain
535,Great Britain
536,Great Britain
537,Great Britain
538,Great Britain
539,Great Britain
540,Great Britain
541,Great Britain
542,Great Britain
543,Great Britain
544,Great Britain
545,Great Britain
546,Great Britain
547,Great Britain
548,Great Britain
549,Great Britain
550,Great Britain
551,Great Britain
552,Great Britain
553,Great Britain
554,Great Britain
555,Great Britain
556,Great Britain
557,Great Britain
558,Great Britain
559,Great Britain
560,Great Britain
561,Great Britain
562,Great Britain
563,Great Britain
564,Great Britain
565,Great Britain
566,Great Britain
567,Great Britain
568,Great Britain
569,Great Britain
570,Great Britain
571,Great Britain
572,Great Britain
573,Great Britain
574,Great Britain
575,Great Britain
576,Great Britain
577,Great Britain
578,Great Britain
579,Great Britain
580,Great Britain
581,Great Britain
582,Great Britain
583,Great Britain
584,Great Britain
585,Great Britain
586,Great Britain
587,Great Britain
588,Great Britain
589,Great Britain
590,Great Britain
591,Great Britain
592,Great Britain
593,Great Britain
594,Great Britain
595,Great Britain
596,Great Britain
597,Guam
598,"Hong Kong, China"
599,"Hong Kong, China"
600,"Hong Kong, China"
601,"Hong Kong, China"
602,"Hong Kong, China"
603,Argentina
604,Argentina
605,Armenia
606,Australia
607,Australia
608,Australia
609,Australia
610,Australia
611,Australia
612,Australia
613,Australia
614,Australia
615,Australia
616,Australia
617,Australia
618,Australia
619,Australia
620,Australia
621,Australia
623,Australia
624,Australia
625,Australia
626,Australia
627,Australia
628,Australia
629,Australia
630,Australia
631,Australia
632,Australia
633,Australia
634,Australia
635,Australia
636,Australia
637,Australia
638,Australia
639,Australia
640,Australia
641,Australia
642,Australia
643,Austria
644,Austria
645,Austria
646,Austria
647,Austria
648,Austria
649,Austria
650,Austria
651,Austria
652,Austria
653,Austria
654,Austria
655,Austria
656,Austria
657,Austria
658,Austria
659,Austria
660,Austria
661,The Bahamas
662,The Bahamas
663,Belgium
664,Belgium
665,Belgium
666,Belgium
667,Belgium
668,Belgium
669,Belgium
670,Belgium
671,Belgium
672,Belgium
673,Belgium
674,Belgium
675,Belgium
676,Belgium
677,Belgium
678,Belgium
679,Belgium
680,Belgium
681,Belgium
682,Belgium
683,Belgium
684,Belgium
685,Belgium
686,Bermuda
687,Bosnia and Herzegovina
688,Belarus
689,Belarus
690,Belarus Soviet Union Unified Team
691,Belarus
692,Belarus
693,Belarus
694,Bohemia
695,Bohemia Czechoslovakia
696,Bohemia
697,Bohemia
698,Bohemia Czechoslovakia
700,Bohemia
701,Bohemia
702,Brazil
703,Brazil
704,Brazil
705,Brazil
706,Brazil
707,Brazil
708,Brazil
709,Brazil
710,Brazil
711,Brazil
712,Brazil
713,Brazil
714,Brazil
715,Brazil
716,Brazil
717,Bulgaria
718,Bulgaria
719,Bulgaria
720,Bulgaria
721,Bulgaria
722,Bulgaria
723,Bulgaria
724,Bulgaria
725,Bulgaria
726,Bulgaria
727,Bulgaria
728,Bulgaria
729,Bulgaria Greece
730,Canada
731,Canada
732,Canada
733,Canada
734,Canada
735,Canada
736,Canada
737,"Canada Hong Kong, China"
738,Canada
739,Canada
740,Canada
741,Canada
742,Canada
743,Canada
744,Canada
745,Canada
746,Canada
747,Canada
748,Canada
749,Canada
750,Canada
751,Canada
752,Canada
753,Canada
754,Canada
755,Canada
756,Canada
757,Canada
758,Canada
759,Canada
760,Canada
761,Canada
762,Canada
763,Canada
764,Canada
765,Chile
766,Chile
767,Chile
768,Chile
769,Chile
770,Chile
771,Chile
772,Chile
773,Chile
774,Chile
775,Chile
776,Chile
777,People's Republic of China
778,Chinese Taipei People's Republic of China
779,People's Republic of China
780,People's Republic of China
781,People's Republic of China
782,People's Republic of China
783,People's Republic of China United States
784,People's Republic of China
785,People's Republic of China
786,People's Republic of China
787,Islamic Republic of Iran
788,Ireland
789,Ireland
790,Ireland
791,Ireland
792,Ireland
793,Ireland
794,Ireland
795,Iraq
796,Iceland
797,Iceland
