Event,Discipline
CoxedFoursOlympic,Rowing
CoxlessPairsOlympic,Rowing
CoxlessFoursOlympic,Rowing
CoxedPairsOlympic,Rowing
QuadrupleScullsOlympic,Rowing
SingleScullsOlympic,Rowing
DoubleScullsOlympic,Rowing
LightweightCoxlessFoursOlympic,Rowing
LightweightDoubleScullsOlympic,Rowing
CoxedFoursOlympic,Rowing
EightsOlympic,Rowing
CoxlessFoursOlympic,Rowing
QuadrupleScullsOlympic,Rowing
CoxedFoursOutriggersOlympic,Rowing
CoxlessFoursBoysOlympicnonmedal,Rowing
EightsBoysOlympicnonmedal,Rowing
Rowing,Boxing
EightsOlympic,Boxing
CoxlessPairsBoysOlympicnonmedal,Rowing
LiteratureLyricWorksOpenOlympic,Art Competitions
WaterPoloOlympic,Water Polo (Aquatics)
WaterPoloAquatics,Rowing
WaterPoloOlympic,Rowing
CoxedQuadrupleScullsOlympic,Rowing
CoxedFoursInriggersOlympic,Rowing
SavateOlympicnonmedal,Savate
SingleScullsAssociationOlympicnonmedal,Rowing
200metresBreaststrokeOlympic,Swimming (Aquatics)
SculpturingMedalsAndReliefsOpenOlympic,Art Competitions
SculpturingStatuesOpenOlympic,Art Competitions
SculpturingUnknownEventOpenOlympic,Art Competitions
ArtCompetitions,Rowing
PaintingGraphicArtsOpenOlympic,Rowing
CoxlessFoursIntermediateOlympicnonmedal,Rowing
CoxlessFoursOlympicnonmedal,Rowing
CoxlessPairsIntermediateOlympicnonmedal,Rowing
TwoPersonKeelboatOpenOlympic,Sailing
DoubleScullsIntermediateOlympicnonmedal,Rowing
EightsIntermediateOlympicnonmedal,Rowing
AirRifle10metresOlympic,Shooting
TrapOpenOlympic,Shooting
TrapOlympic,Shooting
DoubleTrapOlympic,Shooting
AirPistol10metresOlympic,Shooting
SportingPistol25metresOlympic,Shooting
FreePistol50metresOpenOlympic,Shooting
SmallBoreRifleThreePositions50metresOlympic,Shooting
FreePistol50metresOlympic,Shooting
SmallBoreRifleProne50metresOlympic,Shooting
SmallBoreRifleThreePositions50metresOlympic,Shooting
RapidFirePistol25metresOpenOlympic,Shooting
SmallBoreRifleThreePositions50metresOpenOlympic,Shooting
SkeetOlympic,Shooting
RunningTarget50metresOpenOlympic,Shooting
SkeetOpenOlympic,Shooting
AirRifle10metresOlympic,Shooting
AirPistol10metresOlympic,Shooting
DoubleTrapOlympic,Shooting
TrapOlympic,Shooting
RunningTargetSingleandDoubleShotOlympic,Shooting
SmallBoreRifleProne50and100yardsOlympic,Shooting
SmallBoreRifleDisappearingTarget25yardsOlympic,Shooting
SmallBoreRifleMovingTarget25yardsOlympic,Shooting
RunningTarget50metresOlympic,Shooting
RunningTarget10metresOlympic,Shooting
100metresFreestyleIntercalated,Swimming (Aquatics)
400metresFreestyleIntercalated,Swimming (Aquatics)
1mileFreestyleIntercalated,Swimming (Aquatics)
4250metresFreestyleRelayIntercalated,Swimming (Aquatics)
FreePistol50metresOlympic,Modern Pentathlon
DuelingPistol30metresOlympic,Modern Pentathlon
MilitaryRifleThreePositions300metresOlympic,Shooting
MilitaryRifleAnyPosition600metresOlympic,Shooting
DuelingPistol30metresOlympic,Shooting
FreePistol50metresIntercalated,Shooting
MilitaryRevolver18731874GrasModel20metresIntercalated,Shooting
MilitaryRevolver20metresIntercalated,Shooting
DuelingPistolAuVis20metresIntercalated,Shooting
DuelingPistolAuCommandement25metresIntercalated,Shooting
FreeRifleAnyPosition300metresIntercalated,Shooting
MilitaryRifle18731874GrasModelKneelingOrStanding200metresIntercalated,Shooting
MilitaryRifleKneelingOrStanding300metresIntercalated,Shooting
FreePistol50metresTeamOlympic,Shooting
FreeRifleProne600metresOlympic,Shooting
FreeRifle400600and800metresTeamOlympic,Shooting
SmallBoreRifleStanding50metresOlympic,Shooting
SmalBoreRifleStanding50metresTeamOlympic,Shooting
MilitaryPistolTeamOlympic,Shooting
FreeRifleKneeling300metresOlympic,Shooting
FreeRifleProne300metresOlympic,Shooting
FreeRifleStanding300metresOlympic,Shooting
FreePistol50yardsTeamOlympic,Shooting
MilitaryPistol30metresOlympic,Shooting
FreeRifle1000yardsOlympic,Shooting
MilitaryRifle2005006008009001000yardsTeamOlympic,Shooting
SkeetOlympic,Shooting
FreeRifleThreePositions300metresOpenOlympic,Shooting
MilitaryRifleProne300metresOlympic,Shooting
MilitaryRifle200400500and600metresTeamOlympic,Shooting
SmallBoreRifleProne50metresTeamOlympic,Shooting
SmallBoreRifleAnyPosition50metresOlympic,Shooting
SmallBoreRifleDisappearingTarget25metresOlympic,Shooting
Shooting,Athletics
FreeRifleAnyPosition300metresOlympic,Athletics
MilitaryRifle200metresOlympic,Athletics
UnlimitedOneHandOlympic,Athletics
UnlimitedTwoHandsOlympic,Athletics
RapidFirePistol25metresOlympic,Fencing
MilitarySkiPatrolOlympicnonmedal,Military Ski Patrol (Skiing)
SkeletonOlympic,Skeleton (Bobsleigh)
FreePistol25metresIntercalated,Shooting
FreeRifleThreePositions300metresTeamIntercalated,Shooting
TrapSingleShot16metresIntercalated,Shooting
TrapDoubleShot14metresIntercalated,Shooting
DuelingPistol30metresTeamOlympic,Shooting
TrapOlympic,Fencing
26thFederalFestivalSocietyandAssociationContestsNonSimultaneousShootingChampionshipsHonoraryMembersandAssociatesOlympicnonmedal,Artistic Gymnastics (Gymnastics)
FreePistol50metresTeamOlympic,Modern Pentathlon
DuelingPistol30metresTeamOlympic,Modern Pentathlon
MilitaryPistol25metresOlympic,Shooting
MuzzleLoadingPistol25metresOlympic,Shooting
FreeRifleAnyPosition300metresOlympic,Shooting
MilitaryRifle200metresOlympic,Shooting
SmallBoreRifleDisappearingTarget25metresTeamOlympic,Shooting
FreePistol30metresOlympic,Shooting
17ManNavalRowingBoatsIntercalated,Rowing
TeamOlympic,Artistic Swimming (Aquatics)
ArchitectureFurtherEntriesOpenOlympic,Art Competitions
Fencing,Shooting
SabreIndividualOlympic,Shooting
RapidFirePistol25metresOlympic,Athletics
SmallBoreRifleProne50metresOlympic,Athletics
FreePistol50yardsOlympic,Fencing
FreePistol50yardsTeamOlympic,Fencing
SmallBoreRifle50and100yardsTeamOlympic,Fencing
SmallBoreRifleDisappearingTarget25yardsOlympic,Fencing
SmallBoreRifleMovingTarget25yardsOlympic,Fencing
FreePistol50metresOlympic,Fencing
FreePistol50metresTeamOlympic,Fencing
DuelingPistol30metresOlympic,Fencing
SmallBoreRifleAnyPosition50metresOlympic,Fencing
SmallBoreRifleProne50metresTeamOlympic,Fencing
SmallBoreRifleDisappearingTarget25metresOlympic,Fencing
SmallBoreRifleDisappearingTarget25metresTeamOlympic,Fencing
ArtCompetitions,Shooting
SculpturingOpenOlympic,Shooting
100metresBackstrokeOlympic,Swimming (Aquatics)
SoloOlympic,Artistic Swimming (Aquatics)
DuetOlympic,Artistic Swimming (Aquatics)
50metresFreestyleOlympic,Swimming (Aquatics)
200metresFreestyleOlympic,Swimming (Aquatics)
100metresBreaststrokeOlympic,Swimming (Aquatics)
4200metresFreestyleRelayOlympic,Swimming (Aquatics)
1500metresFreestyleOlympic,Swimming (Aquatics)
100metresButterflyOlympic,Swimming (Aquatics)
200metresButterflyOlympic,Swimming (Aquatics)
200metresIndividualMedleyOlympic,Swimming (Aquatics)
100metresBreaststrokeOlympic,Swimming (Aquatics)
200metresBreaststrokeOlympic,Swimming (Aquatics)
100metresFreestyleOlympic,Swimming (Aquatics)
50metresFreestyleOlympic,Swimming (Aquatics)
100metresButterflyOlympic,Swimming (Aquatics)
4100metresMedleyRelayOlympic,Swimming (Aquatics)
100metresBackstrokeOlympic,Swimming (Aquatics)
4200metresFreestyleRelayOlympic,Swimming (Aquatics)
4100metresMedleyRelayOlympic,Swimming (Aquatics)
400metresIndividualMedleyOlympic,Swimming (Aquatics)
400metresFreestyleOlympic,Swimming (Aquatics)
800metresFreestyleOlympic,Swimming (Aquatics)
4100metresFreestyleRelayOlympic,Swimming (Aquatics)
200metresBackstrokeOlympic,Swimming (Aquatics)
200metresFreestyleOlympic,Swimming (Aquatics)
200metresButterflyOlympic,Swimming (Aquatics)
200metresBackstrokeOlympic,Swimming (Aquatics)
200metresIndividualMedleyOlympic,Swimming (Aquatics)
400metresIndividualMedleyOlympic,Swimming (Aquatics)
PlainHighOlympic,Diving (Aquatics)
SwimmingAquatics,Diving (Aquatics)
100metresFreestyleOlympic,Diving (Aquatics)
300metresFreestyleOlympic,Diving (Aquatics)
SynchronizedSpringboardOlympic,Diving (Aquatics)
4100metresFreestyleRelayOlympic,Swimming (Aquatics)
DivingAquatics,Boxing
SpringboardOlympic,Boxing
SwimmingAquatics,Boxing
100metresFreestyleOlympic,Boxing
400metresFreestyleOlympic,Boxing
1500metresFreestyleOlympic,Boxing
4200metresFreestyleRelayOlympic,Boxing
SpringboardOlympic,Diving (Aquatics)
1000metresFreestyleOlympic,Swimming (Aquatics)
200metresObstacleCourseOlympic,Swimming (Aquatics)
Wrestling,Diving (Aquatics)
WelterweightFreestyleOlympic,Diving (Aquatics)
400metresBreaststrokeOlympic,Swimming (Aquatics)
1200metresFreestyleOlympic,Swimming (Aquatics)
SwimmingAquatics,Water Polo (Aquatics)
100metresFreestyleOlympic,Water Polo (Aquatics)
400metresFreestyleOlympic,Water Polo (Aquatics)
440yardsFreestyleOlympic,Swimming (Aquatics)
880yardsFreestyleOlympic,Swimming (Aquatics)
1mileFreestyleOlympic,Swimming (Aquatics)
200metresFreestyleOlympic,Water Polo (Aquatics)
1000metresFreestyleOlympic,Water Polo (Aquatics)
4000metresFreestyleOlympic,Water Polo (Aquatics)
4200metresFreestyleRelayOlympic,Diving (Aquatics)
100metresFreestyleOlympic,Diving (Aquatics)
100metresBackstrokeOlympic,Diving (Aquatics)
SynchronizedSpringboardOlympic,Diving (Aquatics)
Rowing,Swimming (Aquatics)
SwimmingAquatics,Artistic Gymnastics (Gymnastics)
100metresFreestyleOlympic,Artistic Gymnastics (Gymnastics)
4200metresFreestyleRelayOlympic,Artistic Gymnastics (Gymnastics)
200metresBreaststrokeOlympic,Artistic Gymnastics (Gymnastics)
UnderwaterSwimmingOlympic,Swimming (Aquatics)
Fencing,Athletics
FoilIndividualOlympic,Athletics
SabreIndividualOlympic,Athletics
FreePistol30metresOlympic,Athletics
MilitaryPistol25metresOlympic,Athletics
MuzzleLoadingPistol25metresOlympic,Athletics
SwimmingAquatics,Athletics
100metresFreestyleOlympic,Athletics
500metresFreestyleOlympic,Athletics
1200metresFreestyleOlympic,Athletics
4200metresFreestyleRelayOlympic,Water Polo (Aquatics)
ModernPentathlon,Diving (Aquatics)
IndividualOlympic,Diving (Aquatics)
ArtCompetitions,Diving (Aquatics)
ArchitectureDesignsForTownPlanningOpenOlympic,Diving (Aquatics)
300metresFreestyleOlympic,Swimming (Aquatics)
4000metresFreestyleOlympic,Swimming (Aquatics)
200metresTeamSwimmingOlympic,Swimming (Aquatics)
ParallelBarsOlympic,Athletics
TeamAllAroundOlympic,Diving (Aquatics)
4250metresFreestyleRelayIntercalated,Diving (Aquatics)
50yardsFreestyleOlympic,Swimming (Aquatics)
450yardsFreestyleRelayOlympic,Swimming (Aquatics)
100yardsBackstrokeOlympic,Swimming (Aquatics)
440yardsBreaststrokeOlympic,Swimming (Aquatics)
50yardsFreestyleOlympic,Diving (Aquatics)
100yardsFreestyleOlympic,Diving (Aquatics)
440yardsFreestyleOlympic,Diving (Aquatics)
450yardsFreestyleRelayOlympic,Diving (Aquatics)
100yardsBackstrokeOlympic,Diving (Aquatics)
440yardsBreaststrokeOlympic,Diving (Aquatics)
100metresFreestyleIntercalated,Diving (Aquatics)
400metresFreestyleIntercalated,Diving (Aquatics)
1mileFreestyleIntercalated,Diving (Aquatics)
100yardsFreestyleOlympic,Swimming (Aquatics)
220yardsFreestyleOlympic,Swimming (Aquatics)
200metresTeamSwimmingOlympic,Water Polo (Aquatics)
100metresFreestyleForSailorsOlympic,Swimming (Aquatics)
440yardsHandicapOlympicnonmedal,Swimming (Aquatics)
400metresFreestyleOlympic,Diving (Aquatics)
1500metresFreestyleOlympic,Diving (Aquatics)
OlympicDistanceOlympic,Triathlon
200metresBreaststrokeOlympic,Diving (Aquatics)
WaterPoloOlympicnonmedal,Swimming (Aquatics)
WaterPoloOlympicnonmedal,Water Polo (Aquatics)
400metresFreestyleOlympic,Diving (Aquatics)
4100metresFreestyleRelayOlympic,Diving (Aquatics)
WaterPoloAquatics,Diving (Aquatics)
WaterPoloOlympic,Diving (Aquatics)
DivingAquatics,Athletics
PlatformIntercalated,Athletics
100metresFreestyleIntercalated,Athletics
200metresBreaststrokeOlympic,Diving (Aquatics)
1500metresFreestyleOlympic,Water Polo (Aquatics)
100metresBackstrokeOlympic,Diving (Aquatics)
IndividualOlympic,Modern Pentathlon
PlungeForDistanceOlympic,Swimming (Aquatics)
880yardsHandicapOlympicnonmedal,Swimming (Aquatics)
220yardsHandicapOlympicnonmedal,Swimming (Aquatics)
1mileHandicapOlympicnonmedal,Swimming (Aquatics)
880yardsHandicapOlympicnonmedal,Diving (Aquatics)
100yardsHandicapOlympicnonmedal,Swimming (Aquatics)
BeachVolleyballOlympic,Beach Volleyball (Volleyball)
BeachVolleyballOlympic,Beach Volleyball (Volleyball)
VolleyballOlympic,Volleyball (Volleyball)
VolleyballOlympic,Volleyball (Volleyball)
100metresBackstrokeOlympic,Water Polo (Aquatics)
200metresBreaststrokeOlympic,Water Polo (Aquatics)
200metresBackstrokeOlympic,Water Polo (Aquatics)
200metresObstacleCourseOlympic,Water Polo (Aquatics)
WaterPoloAquatics,Football (Football)
WaterPoloOlympic,Football (Football)
FootballFootball,Swimming (Aquatics)
FootballOlympic,Swimming (Aquatics)
BantamweightOlympic,Weightlifting
MiddleHeavyweightOlympic,Weightlifting
LightweightOlympic,Weightlifting
MiddleweightOlympic,Weightlifting
LightHeavyweightOlympic,Weightlifting
HeavyweightIIOlympic,Weightlifting
HeavyweightIOlympic,Weightlifting
HeavyweightOlympic,Weightlifting
SuperHeavyweightOlympic,Weightlifting
LongJumpOlympic,Athletics
4100metresRelayOlympic,Athletics
FlyweightOlympic,Weightlifting
Wrestling,Weightlifting
LightHeavyweightFreestyleOlympic,Weightlifting
UnlimitedOneHandOlympic,Weightlifting
RopeClimbing,Artistic Gymnastics (Gymnastics)
LightHeavyweightFreestyleOlympic,Wrestling
LightweightFreestyleOlympic,Wrestling
20kilometresRaceWalkOlympic,Athletics
FeatherweightGrecoRomanOlympic,Wrestling
Athletics,Weightlifting
4100metresRelayOlympic,Weightlifting
UnlimitedTwoHandsOlympic,Weightlifting
AllAroundDumbbellContestOlympic,Weightlifting
FeatherweightFreestyleOlympic,Wrestling
LightFlyweightFreestyleOlympic,Wrestling
BantamweightFreestyleOlympic,Wrestling
FlyweightFreestyleOlympic,Wrestling
MiddleweightFreestyleOlympic,Wrestling
BantamweightGrecoRomanOlympic,Wrestling
HeavyweightFreestyleOlympic,Wrestling
MiddleweightGrecoRomanOlympic,Wrestling
SuperHeavyweightGrecoRomanOlympic,Wrestling
SuperHeavyweightFreestyleOlympic,Wrestling
HeavyweightGrecoRomanOlympic,Wrestling
LightHeavyweightGrecoRomanOlympic,Wrestling
FlyweightGrecoRomanOlympic,Wrestling
MiddleweightBGrecoRomanOlympic,Wrestling
MiddleweightAGrecoRomanOlympic,Wrestling
LightFlyweightGrecoRomanOlympic,Wrestling
UnlimitedOneHandIntercalated,Weightlifting
UnlimitedTwoHandsIntercalated,Weightlifting
HeavyweightGrecoRomanIntercalated,Weightlifting
HighJumpIntercalated,Weightlifting
StandingHighJumpIntercalated,Weightlifting
PoleVaultIntercalated,Weightlifting
LongJumpIntercalated,Weightlifting
StandingLongJumpIntercalated,Weightlifting
TripleJumpIntercalated,Weightlifting
LightweightGrecoRomanIntercalated,Wrestling
HeavyweightGrecoRomanIntercalated,Wrestling
AllAroundGrecoRomanIntercalated,Wrestling
MiddleweightGrecoRomanIntercalated,Wrestling
UnlimitedClassGrecoRomanOlympic,Wrestling
Glma,Wrestling
GlmaOlympicnonmedal,Wrestling
GlmaOlympicnonmedal,Glíma
Athletics,Wrestling
880yardsHandicapOlympicnonmedal,Wrestling
Rowing,Wrestling
DoubleScullsIntermediateOlympicnonmedal,Wrestling
ShotPutHandicapOlympicnonmedal,Wrestling
TwoPersonDinghyOlympic,Sailing
WindsurferOlympic,Sailing
OnePersonDinghyOlympic,Sailing
MultihullOpenOlympic,Sailing
ThreePersonKeelboatOlympic,Sailing
TwoPersonDinghyOpenOlympic,Sailing
55metresOpenOlympic,Sailing
7metresOpenOlympic,Sailing
TwoPersonHeavyweightDinghyOpenOlympic,Sailing
WindsurferOlympic,Sailing
OnePersonDinghyOlympic,Sailing
OnePersonHeavyweightDinghyOlympic,Sailing
WindsurferOpenOlympic,Sailing
OpenOpenOlympic,Sailing
12TonOpenOlympic,Sailing
12metresOpenOlympic,Sailing
40metresOpenOlympic,Sailing
TwoPersonDinghyOlympic,Sailing
10metresOpenOlympic,Sailing
1TonOpenOlympic,Sailing
MusicCompositionsForOrchestraOpenOlympic,Art Competitions
TwoPersonKeelboatOlympic,Sailing
30metresOpenOlympic,Sailing
12footOpenOlympic,Sailing
1020TonOpenOlympic,Sailing
23TonOpenOlympic,Sailing
SkiffOpenOlympic,Sailing
0TonOpenOlympic,Sailing
20TonOpenOlympic,Sailing
65metresOpenOlympic,Sailing
310TonOpenOlympic,Sailing
WindsurferOlympicnonmedal,Sailing
MultihullMixedOlympic,Sailing
400metresHurdlesOlympic,Athletics
200metresOlympic,Athletics
800metresOlympic,Athletics
1500metresOlympic,Athletics
JavelinThrowOlympic,Athletics
HeptathlonOlympic,Athletics
3000metresSteeplechaseOlympic,Athletics
5000metresOlympic,Athletics
20kilometresRaceWalkOlympic,Athletics
50kilometresRaceWalkOlympic,Athletics
10000metresOlympic,Athletics
HighJumpOlympic,Athletics
100metresOlympic,Athletics
DiscusThrowOlympic,Athletics
100metresHurdlesOlympic,Athletics
10000metresOlympic,Athletics
MarathonOlympic,Athletics
ShotPutOlympic,Athletics
80metresHurdlesOlympic,Athletics
HammerThrowOlympic,Athletics
5000metresOlympic,Athletics
10kilometresRaceWalkOlympic,Athletics
400metresHurdlesOlympic,Athletics
PentathlonOlympic,Athletics
5milesOlympic,Athletics
10milesRaceWalkOlympic,Athletics
10kilometresRaceWalkOlympic,Athletics
400metresIntercalated,Athletics
800metresIntercalated,Athletics
1500metresIntercalated,Athletics
5milesIntercalated,Athletics
Boxing,Athletics
LightweightOlympic,Athletics
PentathlonOlympic,Athletics
100yardsHandicapOlympicnonmedal,Athletics
120yardsHurdlesHandicapOlympicnonmedal,Athletics
StandingHighJumpOlympic,Athletics
3500metresRaceWalkOlympic,Athletics
CrossCountryIndividualOlympic,Athletics
3000metresRaceWalkOlympic,Athletics
60metresOlympic,Athletics
100metresHandicapOlympicnonmedal,Athletics
Athletics,Athletics
5000metresTeamOlympic,Athletics
DiscusThrowBothHandsOlympic,Athletics
DiscusThrowGreekStyleOlympic,Athletics
2500metresSteeplechaseOlympic,Athletics
2500metresSteeplechaseHandicapOlympicnonmedal,Athletics
3200metresSteeplechaseOlympic,Athletics
3000metresTeamOlympic,Athletics
CrossCountryTeamOlympic,Athletics
StandingTripleJumpOlympic,Athletics
JavelinThrowFreestyleIntercalated,Athletics
JavelinThrowFreestyleOlympic,Athletics
Wrestling,Athletics
LightHeavyweightGrecoRomanOlympic,Athletics
1600metresMedleyRelayOlympic,Athletics
1mileHandicapOlympicnonmedal,Athletics
56poundWeightThrowHandicapOlympicnonmedal,Athletics
PoleVaultHandicapOlympicnonmedal,Athletics
HeavyweightOlympic,Athletics
200metresHurdlesOlympic,Athletics
4000metresSteeplechaseOlympic,Athletics
1500metresHandicapOlympicnonmedal,Athletics
440yardsHandicapOlympicnonmedal,Athletics
880yardsHandicapOlympicnonmedal,Athletics
HeavyweightOlympic,Weightlifting
800metresHandicapOlympicnonmedal,Athletics
Athletics,Swimming (Aquatics)
ShotPutOlympic,Swimming (Aquatics)
DiscusThrowOlympic,Swimming (Aquatics)
3000metresSteeplechaseOlympic,Athletics
ShotPutBothHandsOlympic,Athletics
StoneThrowIntercalated,Athletics
TeamAllAroundOlympic,Athletics
20kilometresOlympic,Biathlon
PentathlonOlympic,Artistic Gymnastics (Gymnastics)
3milesTeamOlympic,Athletics
RugbyRugby,Athletics
RugbyOlympic,Athletics
110metresHurdlesHandicapOlympicnonmedal,Athletics
400metresHandicapOlympicnonmedal,Athletics
4milesTeamOlympic,Athletics
DoublesHandicapOlympicnonmedal,Athletics
HeavyweightGrecoRomanOlympic,Athletics
400metresHurdlesHandicapOlympicnonmedal,Athletics
HeavyweightFreestyleOlympic,Athletics
ShotPutOlympic,Wrestling
DiscusThrowOlympic,Wrestling
2590metresSteeplechaseOlympic,Athletics
UnlimitedClassGrecoRomanOlympic,Athletics
120yardsHurdlesOlympicnonmedal,Athletics
LongJumpOlympicnonmedal,Athletics
TripleJumpOlympicnonmedal,Athletics
StandingTripleJumpOlympicnonmedal,Athletics
StoneThrowOlympicnonmedal,Athletics
AllAroundChampionshipOlympic,Athletics
HammerThrowOlympicnonmedal,Athletics
SkiJumpingSkiing,Cross Country Skiing (Skiing)
LargeHillIndividualOlympic,Cross Country Skiing (Skiing)
NordicCombinedSkiing,Cross Country Skiing (Skiing)
IndividualOlympic,Cross Country Skiing (Skiing)
IndividualAllAroundOlympic,Athletics
HorseVaultOlympic,Athletics
ParallelBarsTeamsOlympic,Athletics
HorizontalBarOlympic,Athletics
HorizontalBarTeamsOlympic,Athletics
RingsOlympic,Athletics
PommelledHorseOlympic,Athletics
FootballFootball,Athletics
FootballOlympic,Athletics
BasketballBasketball,Athletics
BasketballOlympic,Athletics
1500metresRaceWalkIntercalated,Athletics
100metresBackstrokeOlympic,Athletics
200metresBreaststrokeOlympic,Athletics
LongJumpHandicapOlympicnonmedal,Athletics
LiteratureDramaticWorksOpenOlympic,Art Competitions
Glma,Athletics
GlmaOlympicnonmedal,Athletics
410kilometresRelayOlympic,Cross Country Skiing (Skiing)
6hourraceProfessionalsOlympicnonmedal,Athletics
PoleVaultIntercalated,Artistic Gymnastics (Gymnastics)
PairsMixedOlympic,Figure Skating (Skating)
15kilometresOlympic,Cross Country Skiing (Skiing)
30kilometresOlympic,Cross Country Skiing (Skiing)
1mileOlympicnonmedal,Athletics
ArtCompetitions,Athletics
LiteratureEpicWorksOpenOlympic,Athletics
MarathonIntercalated,Artistic Gymnastics (Gymnastics)
StandingLongJumpIntercalated,Artistic Gymnastics (Gymnastics)
DiscusThrowIntercalated,Artistic Gymnastics (Gymnastics)
DiscusThrowGreekStyleIntercalated,Artistic Gymnastics (Gymnastics)
PentathlonAncientIntercalated,Artistic Gymnastics (Gymnastics)
MarathonOlympic,Artistic Gymnastics (Gymnastics)
BaseballBaseballSoftball,Athletics
BaseballOlympicnonmedal,Athletics
440yardsOlympicnonmedal,Athletics
880yardsOlympicnonmedal,Athletics
100yardsOlympicnonmedal,Athletics
2milesOlympicnonmedal,Athletics
5milesBoysOlympicnonmedal,Athletics
220yardsOlympicnonmedal,Athletics
120yardsHurdlesBoysOlympicnonmedal,Athletics
1mileBoysOlympicnonmedal,Athletics
ShotPutOlympicnonmedal,Athletics
SpecialScratchPoleVault2Olympicnonmedal,Athletics
IndividualAllAroundFieldSportsOlympic,Athletics
IndividualAllAroundApparatusWorkOlympic,Athletics
60yardsHandicapOlympicnonmedal,Athletics
1mileTeamHandicapOlympicnonmedal,Athletics
2milesHandicapOlympicnonmedal,Athletics
5milesOlympicnonmedal,Athletics
220yardsHandicapOlympicnonmedal,Athletics
100yardsBoysOlympicnonmedal,Athletics
220yardsHurdlesOlympicnonmedal,Athletics
PoleVaultBoysOlympicnonmedal,Athletics
PoleVaultOlympicnonmedal,Athletics
880yardsBoysOlympicnonmedal,Athletics
HeavyweightGrecoRomanIntercalated,Athletics
MiddleweightGrecoRomanIntercalated,Athletics
3000metresRaceWalkIntercalated,Athletics
UnlimitedOneHandIntercalated,Athletics
SculpturingOpenOlympic,Art Competitions
MilitaryRifleKneelingOrStanding300metresIntercalated,Athletics
100metresFreestyleIntercalated,Artistic Gymnastics (Gymnastics)
400metresFreestyleIntercalated,Artistic Gymnastics (Gymnastics)
1mileFreestyleIntercalated,Artistic Gymnastics (Gymnastics)
HeavyweightGrecoRomanIntercalated,Tug-Of-War
MiddleweightGrecoRomanIntercalated,Tug-Of-War
UnlimitedOneHandIntercalated,Tug-Of-War
UnlimitedTwoHandsIntercalated,Tug-Of-War
CyclingTrackCycling,Wrestling
SprintIntercalated,Wrestling
20kilometresIntercalated,Wrestling
SinglesIntercalated,Tennis
Tennis,Football (Football)
SinglesIntercalated,Football (Football)
DoublesIntercalated,Football (Football)
26thFederalFestivalSocietyandAssociationContestsNonSimultaneousOlympicChampionshipsIndividualOlympicnonmedal,Artistic Gymnastics (Gymnastics)
DiscusThrowIntercalated,Tug-Of-War
DiscusThrowGreekStyleIntercalated,Tug-Of-War
Wrestling,Artistic Gymnastics (Gymnastics)
LightweightGrecoRomanIntercalated,Artistic Gymnastics (Gymnastics)
6ManNavalRowingBoatsIntercalated,Rowing
100metresIntercalated,Artistic Gymnastics (Gymnastics)
CyclingTrackCycling,Artistic Gymnastics (Gymnastics)
TandemSprint2000metresIntercalated,Artistic Gymnastics (Gymnastics)
CoxedFoursIntercalated,Fencing
Rowing,Football (Football)
6ManNavalRowingBoatsIntercalated,Football (Football)
100metresIntercalated,Football (Football)
Rowing,Artistic Gymnastics (Gymnastics)
CoxedFoursIntercalated,Artistic Gymnastics (Gymnastics)
Shooting,Rowing
FreePistol25metresIntercalated,Rowing
FreePistol50metresIntercalated,Rowing
MilitaryRevolver18731874GrasModel20metresIntercalated,Rowing
MilitaryRevolver20metresIntercalated,Rowing
Rowing,Rowing
HighJumpIntercalated,Tennis
TwoManTeamsWithCestaOlympic,Basque pelota
FestivalforSocietiesoftheSeineOlympicCompetitionIndividualOlympicnonmedal,Artistic Gymnastics (Gymnastics)
CoxedFoursIntercalated,Football (Football)
Fencing,Football (Football)
FoilIndividualOlympic,Football (Football)
SinglesOlympic,Luge
SlalomOlympic,Alpine Skiing (Skiing)
5kilometresOlympic,Cross Country Skiing (Skiing)
10kilometresOlympic,Cross Country Skiing (Skiing)
20kilometresOlympic,Cross Country Skiing (Skiing)
SinglesOlympic,Figure Skating (Skating)
35kilometresRelayOlympic,Cross Country Skiing (Skiing)
75kilometresSprintOlympic,Biathlon
15kilometresOlympic,Biathlon
375kilometresRelayOlympic,Biathlon
475kilometresRelayOlympic,Biathlon
1500metresOlympic,Speed Skating (Skating)
DownhillOlympic,Alpine Skiing (Skiing)
GiantSlalomOlympic,Alpine Skiing (Skiing)
30kilometresOlympic,Cross Country Skiing (Skiing)
510kilometresPursuitOlympic,Cross Country Skiing (Skiing)
45kilometresRelayOlympic,Cross Country Skiing (Skiing)
15kilometresOlympic,Cross Country Skiing (Skiing)
55kilometresPursuitOlympic,Cross Country Skiing (Skiing)
1000metresOlympic,Speed Skating (Skating)
3000metresRelayOlympic,Short Track Speed Skating (Skating)
10kilometresPursuitOlympic,Biathlon
46kilometresRelayOlympic,Biathlon
IceDancingMixedOlympic,Figure Skating (Skating)
500metresOlympic,Speed Skating (Skating)
SuperGOlympic,Alpine Skiing (Skiing)
CombinedOlympic,Alpine Skiing (Skiing)
5000metresOlympic,Speed Skating (Skating)
500metresOlympic,Short Track Speed Skating (Skating)
500metresOlympicnonmedal,Short Track Speed Skating (Skating)
1000metresOlympicnonmedal,Short Track Speed Skating (Skating)
1500metresOlympicnonmedal,Short Track Speed Skating (Skating)
3000mOlympicnonmedal,Short Track Speed Skating (Skating)
1000metresOlympic,Short Track Speed Skating (Skating)
